Key	English
InventoryItemNames/InvItem_20	Funnel Web Spider
InventoryItemDescriptions/InvDesc_20	Very poisonous. Ain't it cute?
InventoryItemNames/InvItem_21	Raw Meat
InventoryItemDescriptions/InvDesc_21	Delicious if you cook it. Not so much if you dont.
InventoryItemNames/InvItem_22	Nails
InventoryItemDescriptions/InvDesc_22	Used to nail things together.
InventoryItemNames/InvItem_23	Shiny Stone
InventoryItemDescriptions/InvDesc_23	This rock is shiny. There might be something in it.
InventoryItemNames/InvItem_24	Cooking Kettle
InventoryItemDescriptions/InvDesc_24	Make soup, tea and jams faster
InventoryItemNames/InvItem_25	Garden Light
InventoryItemDescriptions/InvDesc_25	A lil' light.
InventoryItemNames/InvItem_26	Stone
InventoryItemDescriptions/InvDesc_26	Some rock. Cool.
InventoryItemNames/InvItem_27	Stone Grinder
InventoryItemDescriptions/InvDesc_27	Get those little materials out of those big ol' stones. Or turn regular rocks into cement.
InventoryItemNames/InvItem_28	Sugar Cane
InventoryItemDescriptions/InvDesc_28	You could make sugar out of this!
InventoryItemNames/InvItem_29	Ulysses Butterfly
InventoryItemDescriptions/InvDesc_29	Nice bug, bro.
InventoryItemNames/InvItem_30	Wooden Crate
InventoryItemDescriptions/InvDesc_30	Store things in here if you like
InventoryItemNames/InvItem_31	Corner Ramp
InventoryItemDescriptions/InvDesc_31	A ramp that uses the tile under it.
InventoryItemNames/InvItem_32	Palm Wood Fence
InventoryItemDescriptions/InvDesc_32	Wood used to seperate things.
InventoryItemNames/InvItem_33	Gum Log
InventoryItemDescriptions/InvDesc_33	A log of gum wood.
InventoryItemNames/InvItem_34	Wooden Torch
InventoryItemDescriptions/InvDesc_34	Burns with a medium light. Will burn out by the end of the day.
InventoryItemNames/InvItem_35	Crafting Lab Deed
InventoryItemDescriptions/InvDesc_35	A deed for a building to research and dicover new crafting recipes.
InventoryItemNames/InvItem_36	Your House Deed
InventoryItemDescriptions/InvDesc_36	You can live here.
InventoryItemNames/InvItem_37	Post Office Deed
InventoryItemDescriptions/InvDesc_37	This will put your town on the map!
InventoryItemNames/InvItem_38	PowerLine
InventoryItemDescriptions/InvDesc_38	High Voltage!
InventoryItemNames/InvItem_39	Shop Deed
InventoryItemDescriptions/InvDesc_39	A deed for a store with a wider range of items.
InventoryItemNames/InvItem_40	Aussie Hat
InventoryItemDescriptions/InvDesc_40	This will keep that sun off ya.
InventoryItemNames/InvItem_41	Black Boots
InventoryItemDescriptions/InvDesc_41	Nice black boots.
InventoryItemNames/InvItem_42	Blue Jeans
InventoryItemDescriptions/InvDesc_42	Not only for Barry.
InventoryItemNames/InvItem_43	Tradie Boots
InventoryItemDescriptions/InvDesc_43	Boots good for hard work.
InventoryItemNames/InvItem_44	Tradie Pants
InventoryItemDescriptions/InvDesc_44	Pants for the trade.
InventoryItemNames/InvItem_45	Dark Shorts
InventoryItemDescriptions/InvDesc_45	Dark and easy to wear.
InventoryItemNames/InvItem_46	Purple Shirt
InventoryItemDescriptions/InvDesc_46	For Ghaz
InventoryItemNames/InvItem_47	Red Flanney
InventoryItemDescriptions/InvDesc_47	A red flannelette shirt.
InventoryItemNames/InvItem_48	Barcoo Grunter
InventoryItemDescriptions/InvDesc_48	Beep. Beep. Grunt.
InventoryItemNames/InvItem_49	Barramundi
InventoryItemDescriptions/InvDesc_49	Thats good eatin' eh?
InventoryItemNames/InvItem_50	River Bass
InventoryItemDescriptions/InvDesc_50	A fresh water bass. Ain't rare.
InventoryItemNames/InvItem_51	Do not use
InventoryItemDescriptions/InvDesc_51	Thats good eatin' fo sho
InventoryItemNames/InvItem_52	Jungle Perch
InventoryItemDescriptions/InvDesc_52	Welcome to the river. We've got perch.
InventoryItemNames/InvItem_53	Purple Armchair
InventoryItemDescriptions/InvDesc_53	
InventoryItemNames/InvItem_54	Wooden Double Bed
InventoryItemDescriptions/InvDesc_54	Double Bed
InventoryItemNames/InvItem_55	Coffee Table
InventoryItemDescriptions/InvDesc_55	Sorry, you can only put coffee on this puppy.
InventoryItemNames/InvItem_56	Wooden Chair
InventoryItemDescriptions/InvDesc_56	A single chair for sitting.
InventoryItemNames/InvItem_57	Wooden Couch
InventoryItemDescriptions/InvDesc_57	A Couch. You can sit on it with a friend
InventoryItemNames/InvItem_58	Small Round Table
InventoryItemDescriptions/InvDesc_58	Small and round. Awesome.
InventoryItemNames/InvItem_59	Dark Wood Cabinet
InventoryItemDescriptions/InvDesc_59	Put skeletons in here.
InventoryItemNames/InvItem_60	Sugar Cane Seeds
InventoryItemDescriptions/InvDesc_60	Sugar cane seeds. Put 'em in the ground!
InventoryItemNames/InvItem_61	Dog Hat
InventoryItemDescriptions/InvDesc_61	Woof.
InventoryItemNames/InvItem_62	Holiday Hat
InventoryItemDescriptions/InvDesc_62	You could wear this on holiday. Or whenever.
InventoryItemNames/InvItem_63	Blue Beanie
InventoryItemDescriptions/InvDesc_63	Keep that dome hot
InventoryItemNames/InvItem_64	Top Hat
InventoryItemDescriptions/InvDesc_64	FANCY!
InventoryItemNames/InvItem_65	Red Baseball Cap
InventoryItemDescriptions/InvDesc_65	Strike 1
InventoryItemNames/InvItem_66	Yellow Bucket Hat
InventoryItemDescriptions/InvDesc_66	Bounce!
InventoryItemNames/InvItem_67	Welcome sign
InventoryItemDescriptions/InvDesc_67	A big green sign
InventoryItemNames/InvItem_68	Business Pants
InventoryItemDescriptions/InvDesc_68	Pants for business.
InventoryItemNames/InvItem_69	Business Shirt
InventoryItemDescriptions/InvDesc_69	A Shirt for business.
InventoryItemNames/InvItem_70	Business Shoes
InventoryItemDescriptions/InvDesc_70	Shoes for business.
InventoryItemNames/InvItem_71	Green Pants
InventoryItemDescriptions/InvDesc_71	Yup. Green and pants.
InventoryItemNames/InvItem_72	Green Sweater
InventoryItemDescriptions/InvDesc_72	Mr Rogers.
InventoryItemNames/InvItem_73	Green Shoes
InventoryItemDescriptions/InvDesc_73	Gross. Green Shoes.
InventoryItemNames/InvItem_74	Blue Holiday Shirt
InventoryItemDescriptions/InvDesc_74	Flipping Stylin'
InventoryItemNames/InvItem_75	Thongs
InventoryItemDescriptions/InvDesc_75	Flip and flop these bad boys.
InventoryItemNames/InvItem_76	Blue Holiday Shorts
InventoryItemDescriptions/InvDesc_76	Easy to wear.
InventoryItemNames/InvItem_77	Tradie Shirt
InventoryItemDescriptions/InvDesc_77	High Vis. Low stress.
InventoryItemNames/InvItem_78	Khaki Boots
InventoryItemDescriptions/InvDesc_78	Struth, boots.
InventoryItemNames/InvItem_79	Khaki Shorts
InventoryItemDescriptions/InvDesc_79	Struth, Shorts
InventoryItemNames/InvItem_80	Khaki Shirt
InventoryItemDescriptions/InvDesc_80	Struth, Shirt.
InventoryItemNames/InvItem_81	Clothing Shop Deed
InventoryItemDescriptions/InvDesc_81	Two Story Clothing and Weapon Shop
InventoryItemNames/InvItem_82	Blue Shorts
InventoryItemDescriptions/InvDesc_82	Blue and easy to wear.
InventoryItemNames/InvItem_83	Blue and Yellow Shirt
InventoryItemDescriptions/InvDesc_83	Is it blue with yellow stripes?
InventoryItemNames/InvItem_84	Red Sneakers
InventoryItemDescriptions/InvDesc_84	Red Shoes.
InventoryItemNames/InvItem_85	Blue Dress
InventoryItemDescriptions/InvDesc_85	Blue and easy to wear.
InventoryItemNames/InvItem_86	Fairest Dress
InventoryItemDescriptions/InvDesc_86	Fairest in the land.
InventoryItemNames/InvItem_92	White Flats
InventoryItemDescriptions/InvDesc_92	White Flat Shoes
InventoryItemNames/InvItem_88	Mustard Coat
InventoryItemDescriptions/InvDesc_88	A nice coloured coat.
InventoryItemNames/InvItem_89	White Sneakers
InventoryItemDescriptions/InvDesc_89	Scuffing be damned.
InventoryItemNames/InvItem_90	Ripped Jeans
InventoryItemDescriptions/InvDesc_90	Jeans for sunburnt knees.
InventoryItemNames/InvItem_91	White Dress
InventoryItemDescriptions/InvDesc_91	Long sleves and white
InventoryItemNames/InvItem_93	Red Dress
InventoryItemDescriptions/InvDesc_93	A red dress. You can wear this.
InventoryItemNames/InvItem_94	Red Flats
InventoryItemDescriptions/InvDesc_94	Red Flat Shoes
InventoryItemNames/InvItem_95	Pin Stripe Jacket
InventoryItemDescriptions/InvDesc_95	Sharp.
InventoryItemNames/InvItem_96	Pin Stripe Pants
InventoryItemDescriptions/InvDesc_96	These are some nice pants.
InventoryItemNames/InvItem_97	Grass Hopper
InventoryItemDescriptions/InvDesc_97	Jumpin' for joy.
InventoryItemNames/InvItem_98	Common Blue Tail
InventoryItemDescriptions/InvDesc_98	A Common Dragonfly
InventoryItemNames/InvItem_99	Wood Bridge
InventoryItemDescriptions/InvDesc_99	Maybe you could cross the water on this?
InventoryItemNames/InvItem_100	Fly
InventoryItemDescriptions/InvDesc_100	A common fly
InventoryItemNames/InvItem_101	Cockroach
InventoryItemDescriptions/InvDesc_101	Yuck.
InventoryItemNames/InvItem_102	Yellow Wattle Flower
InventoryItemDescriptions/InvDesc_102	A yellow flower.
InventoryItemNames/InvItem_103	Metal Detector
InventoryItemDescriptions/InvDesc_103	Is something burried here? If it beeps dig there.
InventoryItemNames/InvItem_104	Opal
InventoryItemDescriptions/InvDesc_104	A Shiny Gemstone.
InventoryItemNames/InvItem_105	Copper Ore
InventoryItemDescriptions/InvDesc_105	Smelt it down to bars.
InventoryItemNames/InvItem_106	Iron Ore
InventoryItemDescriptions/InvDesc_106	Smelt it down to bars.
InventoryItemNames/InvItem_107	Quartz Crystal
InventoryItemDescriptions/InvDesc_107	Looks expensive. Kinda isn't.
InventoryItemNames/InvItem_108	Peacock Spider
InventoryItemDescriptions/InvDesc_108	A fancy little spider.
InventoryItemNames/InvItem_109	Trogid
InventoryItemDescriptions/InvDesc_109	It can't fly.
InventoryItemNames/InvItem_110	Street Lamp
InventoryItemDescriptions/InvDesc_110	A very strong light
InventoryItemNames/InvItem_111	Cabbage
InventoryItemDescriptions/InvDesc_111	Crunchy or soft. It up to you.
InventoryItemNames/InvItem_112	Cabbage Seeds
InventoryItemDescriptions/InvDesc_112	Put 'em in the ground!
InventoryItemNames/InvItem_113	Iron Bar
InventoryItemDescriptions/InvDesc_113	A bar of Iron
InventoryItemNames/InvItem_114	Copper Bar
InventoryItemDescriptions/InvDesc_114	A bar of Copper
InventoryItemNames/InvItem_115	Furnace
InventoryItemDescriptions/InvDesc_115	A faster furnace that can also process Iron Ore
InventoryItemNames/InvItem_116	Carrot
InventoryItemDescriptions/InvDesc_116	What's up, medical person?
InventoryItemNames/InvItem_117	Carrot Seeds
InventoryItemDescriptions/InvDesc_117	Put 'em in the ground!
InventoryItemNames/InvItem_118	Thunderbox
InventoryItemDescriptions/InvDesc_118	A place to clear your stomach
InventoryItemNames/InvItem_119	First Aid Kit
InventoryItemDescriptions/InvDesc_119	Treats wounds instantly
InventoryItemNames/InvItem_120	Green Beanie
InventoryItemDescriptions/InvDesc_120	Keep that dome hot
InventoryItemNames/InvItem_121	Red Beanie
InventoryItemDescriptions/InvDesc_121	Keep that dome hot
InventoryItemNames/InvItem_122	Blue Bucket Hat
InventoryItemDescriptions/InvDesc_122	Bounce!
InventoryItemNames/InvItem_123	Corn
InventoryItemDescriptions/InvDesc_123	This is poppin'
InventoryItemNames/InvItem_124	Corn Seeds
InventoryItemDescriptions/InvDesc_124	Put 'em in the ground!
InventoryItemNames/InvItem_125	Plant Shop Deed
InventoryItemDescriptions/InvDesc_125	A deed for a farming equipment and seed shop.
InventoryItemNames/InvItem_126	Fast Watering Can
InventoryItemDescriptions/InvDesc_126	Carries water from point A to point B
InventoryItemNames/InvItem_127	Dark Wooden Single Bed
InventoryItemDescriptions/InvDesc_127	Hey red bed. That rhymes.
InventoryItemNames/InvItem_128	Basic Watering Can
InventoryItemDescriptions/InvDesc_128	It's empty. Fill it with water.
InventoryItemNames/InvItem_129	Mine Deed
InventoryItemDescriptions/InvDesc_129	A deed for an underground mine. A great place to easily find ores.
InventoryItemNames/InvItem_130	Miners Helmet
InventoryItemDescriptions/InvDesc_130	Gives off light, but has limited power.
InventoryItemNames/InvItem_131	Wooden Chair
InventoryItemDescriptions/InvDesc_131	A single chair for sitting.
InventoryItemNames/InvItem_132	Wooden Table
InventoryItemDescriptions/InvDesc_132	A wooden table.
InventoryItemNames/InvItem_133	Wooden Bedside Table
InventoryItemDescriptions/InvDesc_133	A wooden table for beside your bed.
InventoryItemNames/InvItem_134	Wooden Chest Of Drawers
InventoryItemDescriptions/InvDesc_134	Put stuff in here.
InventoryItemNames/InvItem_135	Wooden Cabinet
InventoryItemDescriptions/InvDesc_135	A wooden table.
InventoryItemNames/InvItem_136	Wooden Single Bed
InventoryItemDescriptions/InvDesc_136	A bed for one.
InventoryItemNames/InvItem_137	Stylish ArmChair
InventoryItemDescriptions/InvDesc_137	An Arm Chair
InventoryItemNames/InvItem_138	Stylish Sofa
InventoryItemDescriptions/InvDesc_138	A Sofa
InventoryItemNames/InvItem_139	Dark Wooden Chair
InventoryItemDescriptions/InvDesc_139	Wooden chair
InventoryItemNames/InvItem_140	Purple Sofa
InventoryItemDescriptions/InvDesc_140	Its soft.
InventoryItemNames/InvItem_141	A white chair
InventoryItemDescriptions/InvDesc_141	A white single person chair
InventoryItemNames/InvItem_142	White Coffee Table
InventoryItemDescriptions/InvDesc_142	A small white coffee table.
InventoryItemNames/InvItem_143	White Dinner Table
InventoryItemDescriptions/InvDesc_143	A large white table.
InventoryItemNames/InvItem_144	White Long Cofee Table
InventoryItemDescriptions/InvDesc_144	A long coffee table.
InventoryItemNames/InvItem_145	White Sofa
InventoryItemDescriptions/InvDesc_145	A white 2 seat chair.
InventoryItemNames/InvItem_146	Stylish Bed
InventoryItemDescriptions/InvDesc_146	A double bed.
InventoryItemNames/InvItem_147	Stylish Bedside Table
InventoryItemDescriptions/InvDesc_147	A set of drawers for beside the bed.
InventoryItemNames/InvItem_148	Stylish Drawers
InventoryItemDescriptions/InvDesc_148	A set of drawers.
InventoryItemNames/InvItem_149	Stylish Dresser
InventoryItemDescriptions/InvDesc_149	A tall of drawers.
InventoryItemNames/InvItem_150	Furniture Shop Deed
InventoryItemDescriptions/InvDesc_150	A deed to build a furniture workshop and buy furniture for your home.
InventoryItemNames/InvItem_151	Dainty Bed
InventoryItemDescriptions/InvDesc_151	A dainty bed
InventoryItemNames/InvItem_152	Dainty Bedside Table
InventoryItemDescriptions/InvDesc_152	A dainty bedside table.
InventoryItemNames/InvItem_153	Dainty Chair
InventoryItemDescriptions/InvDesc_153	A dainty chair
InventoryItemNames/InvItem_154	Dainty Coffee Table
InventoryItemDescriptions/InvDesc_154	A coffee table
InventoryItemNames/InvItem_155	Dainty Drawers
InventoryItemDescriptions/InvDesc_155	A set of drawers
InventoryItemNames/InvItem_156	Dainty Kitchen Table
InventoryItemDescriptions/InvDesc_156	A large table.
InventoryItemNames/InvItem_157	Dainty Lamp
InventoryItemDescriptions/InvDesc_157	Lights up house.
InventoryItemNames/InvItem_158	Dainty Ottoman
InventoryItemDescriptions/InvDesc_158	For feet.
InventoryItemNames/InvItem_159	Dainty Sofa
InventoryItemDescriptions/InvDesc_159	A sofa. Seats 2.
InventoryItemNames/InvItem_160	White Arm Chair
InventoryItemDescriptions/InvDesc_160	A white chair.
InventoryItemNames/InvItem_161	White Ottoman
InventoryItemDescriptions/InvDesc_161	A white ottoman
InventoryItemNames/InvItem_162	White Bed
InventoryItemDescriptions/InvDesc_162	A Small white bedside table.
InventoryItemNames/InvItem_163	White Bed Side Table.
InventoryItemDescriptions/InvDesc_163	A Small white bedside table.
InventoryItemNames/InvItem_164	White Chest of Drawers
InventoryItemDescriptions/InvDesc_164	White Drawers
InventoryItemNames/InvItem_165	Fern Vase
InventoryItemDescriptions/InvDesc_165	Fern Vase
InventoryItemNames/InvItem_166	Purple Vase
InventoryItemDescriptions/InvDesc_166	Purple Vase
InventoryItemNames/InvItem_167	Yellow Wattle Vase
InventoryItemDescriptions/InvDesc_167	Yellow Wattle Vase
InventoryItemNames/InvItem_168	Kitchen Cabinet
InventoryItemDescriptions/InvDesc_168	Kitchen Cabinet
InventoryItemNames/InvItem_169	Kitchen Oven
InventoryItemDescriptions/InvDesc_169	Kitchen Oven
InventoryItemNames/InvItem_170	Kitchen Sink
InventoryItemDescriptions/InvDesc_170	Kitchen Sink
InventoryItemNames/InvItem_171	Stylish Chair
InventoryItemDescriptions/InvDesc_171	A chair
InventoryItemNames/InvItem_172	Stylish Table
InventoryItemDescriptions/InvDesc_172	A Short Table
InventoryItemNames/InvItem_173	Stylish Lamp
InventoryItemDescriptions/InvDesc_173	A standing lamp
InventoryItemNames/InvItem_174	Regal ArmChair
InventoryItemDescriptions/InvDesc_174	An Armchair
InventoryItemNames/InvItem_175	Regal Bed
InventoryItemDescriptions/InvDesc_175	A bed.
InventoryItemNames/InvItem_176	Regal Bedside Table
InventoryItemDescriptions/InvDesc_176	A bedside table.
InventoryItemNames/InvItem_177	Regal Chair
InventoryItemDescriptions/InvDesc_177	A one person chair.
InventoryItemNames/InvItem_178	Regal Lamp
InventoryItemDescriptions/InvDesc_178	A lamp
InventoryItemNames/InvItem_179	Regal Sofa
InventoryItemDescriptions/InvDesc_179	A sofa. Seats 2.
InventoryItemNames/InvItem_180	Regal Table
InventoryItemDescriptions/InvDesc_180	A long table.
InventoryItemNames/InvItem_181	Regal Drawers
InventoryItemDescriptions/InvDesc_181	Chest of Drawers.
InventoryItemNames/InvItem_182	Feather
InventoryItemDescriptions/InvDesc_182	A bit of a bird.
InventoryItemNames/InvItem_183	Copper Pickaxe
InventoryItemDescriptions/InvDesc_183	Faster and better than a regular pickaxe
InventoryItemNames/InvItem_184	Iron Pickaxe
InventoryItemDescriptions/InvDesc_184	A really good pickaxe.
InventoryItemNames/InvItem_185	Space Helmet
InventoryItemDescriptions/InvDesc_185	I've always wanted to have one.
InventoryItemNames/InvItem_186	Space Suit Pants
InventoryItemDescriptions/InvDesc_186	Pants for space.
InventoryItemNames/InvItem_187	Space Suit Shirt
InventoryItemDescriptions/InvDesc_187	A Shirt for space.
InventoryItemNames/InvItem_188	Space Suit Shoes
InventoryItemDescriptions/InvDesc_188	Shoes for space
InventoryItemNames/InvItem_189	Pink Baseball Cap
InventoryItemDescriptions/InvDesc_189	Strike 1
InventoryItemNames/InvItem_190	Black Pants
InventoryItemDescriptions/InvDesc_190	Dark Pants
InventoryItemNames/InvItem_191	Black Shirt
InventoryItemDescriptions/InvDesc_191	So Dark.
InventoryItemNames/InvItem_192	Black Sneakers
InventoryItemDescriptions/InvDesc_192	So dark.
InventoryItemNames/InvItem_193	Daisy Shorts
InventoryItemDescriptions/InvDesc_193	Looks like them shorts are in trouble.
InventoryItemNames/InvItem_194	Pink Dress
InventoryItemDescriptions/InvDesc_194	Dress
InventoryItemNames/InvItem_195	Strapped Sandals
InventoryItemDescriptions/InvDesc_195	Strapped up.
InventoryItemNames/InvItem_196	Green Baseball Cap
InventoryItemDescriptions/InvDesc_196	Strike 1
InventoryItemNames/InvItem_197	Nautilis Shell
InventoryItemDescriptions/InvDesc_197	An uncommon shell
InventoryItemNames/InvItem_198	Scallop Shell
InventoryItemDescriptions/InvDesc_198	A common shell
InventoryItemNames/InvItem_199	Syrinx Shell
InventoryItemDescriptions/InvDesc_199	A rare shell.
InventoryItemNames/InvItem_200	Banded Morwong
InventoryItemDescriptions/InvDesc_200	Good fish. You're not Morwong about that.
InventoryItemNames/InvItem_201	Bluefish
InventoryItemDescriptions/InvDesc_201	An ocean fish that is blue.
InventoryItemNames/InvItem_202	Garfish
InventoryItemDescriptions/InvDesc_202	It hates mondays.
InventoryItemNames/InvItem_203	Golden Perch
InventoryItemDescriptions/InvDesc_203	Gold belly on this Perch
InventoryItemNames/InvItem_204	Mangrove Jack
InventoryItemDescriptions/InvDesc_204	Jack?
InventoryItemNames/InvItem_205	Luderick
InventoryItemDescriptions/InvDesc_205	This is a Luderick-us fish.
InventoryItemNames/InvItem_206	Blue Spot Flathead
InventoryItemDescriptions/InvDesc_206	Its head is flat and its eyes are on top.
InventoryItemNames/InvItem_207	Travalla
InventoryItemDescriptions/InvDesc_207	I will call him Trevor.
InventoryItemNames/InvItem_208	Yellowfin Tuna
InventoryItemDescriptions/InvDesc_208	A massive fish!
InventoryItemNames/InvItem_209	Pirate Coat
InventoryItemDescriptions/InvDesc_209	Yarr.
InventoryItemNames/InvItem_210	Spinifex Tuft
InventoryItemDescriptions/InvDesc_210	A bunch of sticky grass. Burn it in fire to make resin.
InventoryItemNames/InvItem_211	Hot Air Balloon
InventoryItemDescriptions/InvDesc_211	A floating raft.
InventoryItemNames/InvItem_212	Spinifex Resin
InventoryItemDescriptions/InvDesc_212	Sticky resin used in crafting. Made from burnt spinifex tuft.
InventoryItemNames/InvItem_213	Palm Wood
InventoryItemDescriptions/InvDesc_213	A light wood log.
InventoryItemNames/InvItem_214	Prickly Pear Flesh
InventoryItemDescriptions/InvDesc_214	Spiky Cactus Flesh.
InventoryItemNames/InvItem_215	Cactus Figs
InventoryItemDescriptions/InvDesc_215	The fruit of a cactus.
InventoryItemNames/InvItem_216	Copper Axe
InventoryItemDescriptions/InvDesc_216	A more advanced axe.
InventoryItemNames/InvItem_217	Iron Axe
InventoryItemDescriptions/InvDesc_217	A very strong axe.
InventoryItemNames/InvItem_218	Jump Charm
InventoryItemDescriptions/InvDesc_218	Jump higher while wearing this.
InventoryItemNames/InvItem_219	Swim Charm
InventoryItemDescriptions/InvDesc_219	Swim Faster while wearing this.
InventoryItemNames/InvItem_220	Run Charm
InventoryItemDescriptions/InvDesc_220	Run Faster while wearing this.
InventoryItemNames/InvItem_221	White Collar Dress
InventoryItemDescriptions/InvDesc_221	A black dress with a white collar.
InventoryItemNames/InvItem_222	Dark Blue Button Dress
InventoryItemDescriptions/InvDesc_222	Blue and easy to wear.
InventoryItemNames/InvItem_223	Crab Pot
InventoryItemDescriptions/InvDesc_223	Put it in shallow water. Fill it with meat.
InventoryItemNames/InvItem_224	Mud Crab
InventoryItemDescriptions/InvDesc_224	A muddy crab
InventoryItemNames/InvItem_225	Honey
InventoryItemDescriptions/InvDesc_225	Sweet and stick.
InventoryItemNames/InvItem_226	Bee House
InventoryItemDescriptions/InvDesc_226	Collect honey from this. Can take a week.
InventoryItemNames/InvItem_227	Bee
InventoryItemDescriptions/InvDesc_227	A little honey maker. Where's the queen?
InventoryItemNames/InvItem_228	Queen Bee
InventoryItemDescriptions/InvDesc_228	The boss bee. Can start a hive.
InventoryItemNames/InvItem_229	Red Back Spider
InventoryItemDescriptions/InvDesc_229	Very poisonous. Ain't it cute?
InventoryItemNames/InvItem_230	Desert Scorpion
InventoryItemDescriptions/InvDesc_230	8 Legs. Friendlier than it looks
InventoryItemNames/InvItem_231	Stinkbug
InventoryItemDescriptions/InvDesc_231	It stinks!
InventoryItemNames/InvItem_232	Paper Wasp
InventoryItemDescriptions/InvDesc_232	This thing kills spiders when its hungy.
InventoryItemNames/InvItem_233	Birdwing Butterfly
InventoryItemDescriptions/InvDesc_233	It's really rare and big!
InventoryItemNames/InvItem_234	Swallow-tail Butterfly
InventoryItemDescriptions/InvDesc_234	It has a little tail.
InventoryItemNames/InvItem_235	Harlequin Butterfly
InventoryItemDescriptions/InvDesc_235	It's fluttering by, Mr. J.
InventoryItemNames/InvItem_236	Sling Shot
InventoryItemDescriptions/InvDesc_236	Aim and fire.
InventoryItemNames/InvItem_237	Yabbie
InventoryItemDescriptions/InvDesc_237	Like a lobster but it's a yabbie instead.
InventoryItemNames/InvItem_238	Pink Shots
InventoryItemDescriptions/InvDesc_238	Easy to wear.
InventoryItemNames/InvItem_239	Pink Sneakers
InventoryItemDescriptions/InvDesc_239	Pink sneaky shoes.
InventoryItemNames/InvItem_240	Pink T-Shirt
InventoryItemDescriptions/InvDesc_240	A normal pink T-Shirt
InventoryItemNames/InvItem_241	Blue Sneakers
InventoryItemDescriptions/InvDesc_241	Blue sneaky shoes.
InventoryItemNames/InvItem_242	Blue T-Shirt
InventoryItemDescriptions/InvDesc_242	A normal blue T-Shirt
InventoryItemNames/InvItem_243	Purple Dress
InventoryItemDescriptions/InvDesc_243	Its sure is purple!
InventoryItemNames/InvItem_244	Purple Flats
InventoryItemDescriptions/InvDesc_244	Purple Flat Shoes
InventoryItemNames/InvItem_245	Purple Pants
InventoryItemDescriptions/InvDesc_245	Like purple shorts, but longer.
InventoryItemNames/InvItem_246	Crocodile Tooth
InventoryItemDescriptions/InvDesc_246	A sharp tooth from a croc.
InventoryItemNames/InvItem_247	Glowing Mushroom
InventoryItemDescriptions/InvDesc_247	Why does it glow?
InventoryItemNames/InvItem_248	Firefly
InventoryItemDescriptions/InvDesc_248	I can not believe my eyes.
InventoryItemNames/InvItem_249	Field Cricket
InventoryItemDescriptions/InvDesc_249	So small. So loud.
InventoryItemNames/InvItem_250	Cement Path
InventoryItemDescriptions/InvDesc_250	Nice and sleek paths
InventoryItemNames/InvItem_251	Brick Fence
InventoryItemDescriptions/InvDesc_251	Keep things in or out.
InventoryItemNames/InvItem_252	Ute
InventoryItemDescriptions/InvDesc_252	OLD ITEM
InventoryItemNames/InvItem_253	Green Boots
InventoryItemDescriptions/InvDesc_253	Tough green boots
InventoryItemNames/InvItem_254	Brown Pants
InventoryItemDescriptions/InvDesc_254	Yup. Brown and pants.
InventoryItemNames/InvItem_255	Blue Flanney Shirt
InventoryItemDescriptions/InvDesc_255	Blue and warm
InventoryItemNames/InvItem_256	Black Pants
InventoryItemDescriptions/InvDesc_256	Are these socks or pants?
InventoryItemNames/InvItem_257	Green Jacket
