Key	English
InventoryItemDescriptions/InvDesc_732	Keep the sun out of some of you eyes.
InventoryItemNames/InvItem_733	Round Horned Glasses
InventoryItemDescriptions/InvDesc_733	Stylish.
InventoryItemNames/InvItem_734	Round Horned Sun Glasses
InventoryItemDescriptions/InvDesc_734	Stylish.
InventoryItemNames/InvItem_735	Yellow Dress
InventoryItemDescriptions/InvDesc_735	It's yellow!
InventoryItemNames/InvItem_736	Rainbow Dress
InventoryItemDescriptions/InvDesc_736	Beautiful!
InventoryItemNames/InvItem_737	Black Plaid Dress
InventoryItemDescriptions/InvDesc_737	Dark.
InventoryItemNames/InvItem_738	Rainbow T Shirt
InventoryItemDescriptions/InvDesc_738	Beautiful!
InventoryItemNames/InvItem_739	Rainbow Pants
InventoryItemDescriptions/InvDesc_739	Beautiful!
InventoryItemNames/InvItem_740	Rainbow Sneakers
InventoryItemDescriptions/InvDesc_740	Beautiful!
InventoryItemNames/InvItem_741	Red Nose
InventoryItemDescriptions/InvDesc_741	Does it honk?
InventoryItemNames/InvItem_742	Beak
InventoryItemDescriptions/InvDesc_742	Who is quack?
InventoryItemNames/InvItem_743	Black Coat
InventoryItemDescriptions/InvDesc_743	A nice coloured coat.
InventoryItemNames/InvItem_744	Black Ripped Jeans
InventoryItemDescriptions/InvDesc_744	Jeans for sunburnt knees.
InventoryItemNames/InvItem_745	House Move Deed
InventoryItemDescriptions/InvDesc_745	Decide where your house will be moved to
InventoryItemNames/InvItem_746	Jelly
InventoryItemDescriptions/InvDesc_746	It's squishy.
InventoryItemNames/InvItem_747	Jelly Brew
InventoryItemDescriptions/InvDesc_747	A real pick me up.
InventoryItemNames/InvItem_748	Bottled Brush
InventoryItemDescriptions/InvDesc_748	Healthy.
InventoryItemNames/InvItem_749	Advanced Sprinkler
InventoryItemDescriptions/InvDesc_749	Waters crops automatically.
InventoryItemNames/InvItem_750	Vombat Poo
InventoryItemDescriptions/InvDesc_750	It's poop. Plants might like it.
InventoryItemNames/InvItem_751	White Mask
InventoryItemDescriptions/InvDesc_751	Keep your breath in.
InventoryItemNames/InvItem_752	Black Mask
InventoryItemDescriptions/InvDesc_752	Keep your breath in.
InventoryItemNames/InvItem_753	Windmill
InventoryItemDescriptions/InvDesc_753	Speeds up nearby furnaces, crushers and BBQs
InventoryItemNames/InvItem_754	Flower Pot
InventoryItemDescriptions/InvDesc_754	Plant flowers and other plants in it.
InventoryItemNames/InvItem_755	Gum Wood Path
InventoryItemDescriptions/InvDesc_755	A wooden path for walking on.
InventoryItemNames/InvItem_756	Hard Wood Path
InventoryItemDescriptions/InvDesc_756	A wooden path for walking on.
InventoryItemNames/InvItem_757	Hard Wood Bridge
InventoryItemDescriptions/InvDesc_757	Maybe you could cross the water on this?
InventoryItemNames/InvItem_758	Gum Wood Bridge
InventoryItemDescriptions/InvDesc_758	Maybe you could cross the water on this?
InventoryItemNames/InvItem_759	Brick Bridge
InventoryItemDescriptions/InvDesc_759	Maybe you could cross the water on this?
InventoryItemNames/InvItem_760	Gum Wood Fence
InventoryItemDescriptions/InvDesc_760	Wood used to seperate things.
InventoryItemNames/InvItem_761	Hard Wood Fence
InventoryItemDescriptions/InvDesc_761	Wood used to seperate things.
InventoryItemNames/InvItem_762	Tin Fence
InventoryItemDescriptions/InvDesc_762	Its strong!
InventoryItemNames/InvItem_763	Big Fried Egg
InventoryItemDescriptions/InvDesc_763	Its a big one and it's fried!
InventoryItemNames/InvItem_764	Fried Egg
InventoryItemDescriptions/InvDesc_764	Sunny side up.
InventoryItemNames/InvItem_765	Gum Wood Gate
InventoryItemDescriptions/InvDesc_765	Opens and closes.
InventoryItemNames/InvItem_766	Hard Wood Gate
InventoryItemDescriptions/InvDesc_766	Opens and closes.
InventoryItemNames/InvItem_767	Tin Gate
InventoryItemDescriptions/InvDesc_767	Opens and closes.
InventoryItemNames/InvItem_768	Copper Hoe
InventoryItemDescriptions/InvDesc_768	Hoe the dirt. Make it all soft and stuff.
InventoryItemNames/InvItem_769	Brick Well
InventoryItemDescriptions/InvDesc_769	Water from deep down
InventoryItemNames/InvItem_770	Quandong
InventoryItemDescriptions/InvDesc_770	Gone don eat it.
InventoryItemNames/InvItem_771	Cooked Quandong
InventoryItemDescriptions/InvDesc_771	Gone don cooked it.
InventoryItemNames/InvItem_772	Flake
InventoryItemDescriptions/InvDesc_772	It's shark meat.
InventoryItemNames/InvItem_773	Cooked Flake
InventoryItemDescriptions/InvDesc_773	Salty.
InventoryItemNames/InvItem_774	Wheelbarrow
InventoryItemDescriptions/InvDesc_774	Fill it with dirt or other stuff.
InventoryItemNames/InvItem_775	Iron Path
InventoryItemDescriptions/InvDesc_775	It's cold
InventoryItemNames/InvItem_776	Bottle Brush Seed
InventoryItemDescriptions/InvDesc_776	Plant a Bottle Brush
InventoryItemNames/InvItem_777	Wattle Seed
InventoryItemDescriptions/InvDesc_777	Plant a Wattle
InventoryItemNames/InvItem_778	Copper Fishing Rod
InventoryItemDescriptions/InvDesc_778	Can reel faster.
InventoryItemNames/InvItem_779	Iron Fishing Rod
InventoryItemDescriptions/InvDesc_779	Can reel in the biggest fish in the ocean.
InventoryItemNames/InvItem_780	Chicken Hood
InventoryItemDescriptions/InvDesc_780	Bok Bok
InventoryItemNames/InvItem_781	Wizard Hat
InventoryItemDescriptions/InvDesc_781	Sort this out.
InventoryItemNames/InvItem_782	Wizard Robe
InventoryItemDescriptions/InvDesc_782	Never late.
InventoryItemNames/InvItem_783	Witch Hat
InventoryItemDescriptions/InvDesc_783	Does it point west?
InventoryItemNames/InvItem_784	Witch Robe
InventoryItemDescriptions/InvDesc_784	Where's the broom?
InventoryItemNames/InvItem_785	Green Chair
InventoryItemDescriptions/InvDesc_785	Green Chair
InventoryItemNames/InvItem_786	Green Seat
InventoryItemDescriptions/InvDesc_786	A single chair for sitting.
InventoryItemNames/InvItem_787	Green Bed
InventoryItemDescriptions/InvDesc_787	Sleep here.
InventoryItemNames/InvItem_788	Green Bedside Table
InventoryItemDescriptions/InvDesc_788	A wooden table for beside your bed.
InventoryItemNames/InvItem_789	Green Bookshelf
InventoryItemDescriptions/InvDesc_789	Keep books here.
InventoryItemNames/InvItem_790	Green Cabinet
InventoryItemDescriptions/InvDesc_790	Green Cabinet
InventoryItemNames/InvItem_791	Green Couch
InventoryItemDescriptions/InvDesc_791	A Couch. You can sit on it with a friend
InventoryItemNames/InvItem_792	Green Coffee Table
InventoryItemDescriptions/InvDesc_792	A small table.
InventoryItemNames/InvItem_793	Green Table
InventoryItemDescriptions/InvDesc_793	A pink table.
InventoryItemNames/InvItem_794	Green Lamp
InventoryItemDescriptions/InvDesc_794	Pink lamp. Pretty.
InventoryItemNames/InvItem_795	Town Hall Base Tent Upgrade
InventoryItemDescriptions/InvDesc_795	A hub of town
InventoryItemNames/InvItem_796	Town Hall Deed
InventoryItemDescriptions/InvDesc_796	Move Town Hall
InventoryItemNames/InvItem_797	Storage Barrel
InventoryItemDescriptions/InvDesc_797	Store things in here if you like.
InventoryItemNames/InvItem_798	Lawn Mower
InventoryItemDescriptions/InvDesc_798	Stop grass growing back.
InventoryItemNames/InvItem_799	Coconut
InventoryItemDescriptions/InvDesc_799	It's tasty inside.
InventoryItemNames/InvItem_800	Boogie Board
InventoryItemDescriptions/InvDesc_800	Float your day away.
InventoryItemNames/InvItem_801	Tractor
InventoryItemDescriptions/InvDesc_801	Put Put.
InventoryItemNames/InvItem_802	Blue Paint
InventoryItemDescriptions/InvDesc_802	Can paint vehicles and some containers
InventoryItemNames/InvItem_803	Paint Remover
InventoryItemDescriptions/InvDesc_803	Clear off paint.
InventoryItemNames/InvItem_804	Black Paint
InventoryItemDescriptions/InvDesc_804	Can paint vehicles and some containers
InventoryItemNames/InvItem_805	Green Paint
InventoryItemDescriptions/InvDesc_805	Can paint vehicles and some containers
InventoryItemNames/InvItem_806	Orange Paint
InventoryItemDescriptions/InvDesc_806	Can paint vehicles and some containers
InventoryItemNames/InvItem_807	Pink Paint
InventoryItemDescriptions/InvDesc_807	Can paint vehicles and some containers
InventoryItemNames/InvItem_808	Purple Paint
InventoryItemDescriptions/InvDesc_808	Can paint vehicles and some containers
InventoryItemNames/InvItem_809	Red Paint
InventoryItemDescriptions/InvDesc_809	Can paint vehicles and some containers
InventoryItemNames/InvItem_810	White Paint
InventoryItemDescriptions/InvDesc_810	Can paint vehicles and some containers
InventoryItemNames/InvItem_811	Yellow Paint
InventoryItemDescriptions/InvDesc_811	Can paint vehicles and some containers
InventoryItemNames/InvItem_812	Chrome Paint
InventoryItemDescriptions/InvDesc_812	Paint your vehicles and show off.
InventoryItemNames/InvItem_813	Gold Paint
InventoryItemDescriptions/InvDesc_813	The ultimate vehicle status symbol.
InventoryItemNames/InvItem_814	Buccinidae Shell
InventoryItemDescriptions/InvDesc_814	A seaworthy shell
InventoryItemNames/InvItem_815	Cassidae Shell
InventoryItemDescriptions/InvDesc_815	What the shell?
InventoryItemNames/InvItem_816	Sand Dollar
InventoryItemDescriptions/InvDesc_816	Can I spend this?
InventoryItemNames/InvItem_817	Tonnidae Shell
InventoryItemDescriptions/InvDesc_817	It's heavy?
InventoryItemNames/InvItem_818	Biscuit Sea Star
InventoryItemDescriptions/InvDesc_818	Don't eat it.
InventoryItemNames/InvItem_819	Eleven-armed Sea Star
InventoryItemDescriptions/InvDesc_819	That's a lot of arms!
InventoryItemNames/InvItem_820	Black Sea Cucumber
InventoryItemDescriptions/InvDesc_820	I bet its chewy
InventoryItemNames/InvItem_821	Spiny Sea Urchin
InventoryItemDescriptions/InvDesc_821	It's spikey
InventoryItemNames/InvItem_822	Pink Sea Urchin
InventoryItemDescriptions/InvDesc_822	Looks like bubblegum
InventoryItemNames/InvItem_823	Purple Sea Urchin
InventoryItemDescriptions/InvDesc_823	Does it eat people?
InventoryItemNames/InvItem_824	King Prawn
InventoryItemDescriptions/InvDesc_824	What majesty!
InventoryItemNames/InvItem_825	Tiger Prawn
InventoryItemDescriptions/InvDesc_825	Meow
InventoryItemNames/InvItem_826	Bay Bug
InventoryItemDescriptions/InvDesc_826	A lobster without claws.
InventoryItemNames/InvItem_827	Fresh Water Mussel
InventoryItemDescriptions/InvDesc_827	Makes you strong!
InventoryItemNames/InvItem_828	Fresh Water Prawn
InventoryItemDescriptions/InvDesc_828	Refreshing!
InventoryItemNames/InvItem_829	Inland Crab
InventoryItemDescriptions/InvDesc_829	Looks wet to me.
InventoryItemNames/InvItem_830	Purple Mottled Crab
InventoryItemDescriptions/InvDesc_830	Looks wet to me.
InventoryItemNames/InvItem_831	Blue Mussel
InventoryItemDescriptions/InvDesc_831	Strong but sad.
InventoryItemNames/InvItem_832	Cushion Sea Star
InventoryItemDescriptions/InvDesc_832	It's not that soft.
InventoryItemNames/InvItem_833	White Yabbie
InventoryItemDescriptions/InvDesc_833	Is it scared?
InventoryItemNames/InvItem_834	Blue Sea Slug
InventoryItemDescriptions/InvDesc_834	It's got wings!
InventoryItemNames/InvItem_835	Croco Berley Box
InventoryItemDescriptions/InvDesc_835	Lures Croco to its position.
InventoryItemNames/InvItem_836	Devil Berley Box
InventoryItemDescriptions/InvDesc_836	Lures Bush Devils to its position.
InventoryItemNames/InvItem_837	Shark Berley Box
InventoryItemDescriptions/InvDesc_837	Lures sharks to its position.
InventoryItemNames/InvItem_838	Battle Shovel
InventoryItemDescriptions/InvDesc_838	Dig this.
InventoryItemNames/InvItem_839	Bone Bow
InventoryItemDescriptions/InvDesc_839	How do this even work?
InventoryItemNames/InvItem_840	Bone Arrow
InventoryItemDescriptions/InvDesc_840	Sharp bones that can be shot.
InventoryItemNames/InvItem_841	Gold Pocket Watch
InventoryItemDescriptions/InvDesc_841	Time flies with one of these.
InventoryItemNames/InvItem_842	Boom Box
InventoryItemDescriptions/InvDesc_842	A box that plays a funky beat.
InventoryItemNames/InvItem_843	Tomato
InventoryItemDescriptions/InvDesc_843	No one know if this is a fruit or not.
InventoryItemNames/InvItem_844	Tomato Seeds
InventoryItemDescriptions/InvDesc_844	Put 'em in the ground!
InventoryItemNames/InvItem_845	Green Bean
InventoryItemDescriptions/InvDesc_845	Like beans in a case
InventoryItemNames/InvItem_846	Green Bean Seeds
InventoryItemDescriptions/InvDesc_846	Put 'em in the ground!
InventoryItemNames/InvItem_847	Empty Miners Helmet
InventoryItemDescriptions/InvDesc_847	Needs to be recharged.
InventoryItemNames/InvItem_848	Wooden Chest
InventoryItemDescriptions/InvDesc_848	Put stuff in here.
InventoryItemNames/InvItem_849	Doggo Collar
InventoryItemDescriptions/InvDesc_849	Put it on a pet!
InventoryItemNames/InvItem_850	Mu Saddle
InventoryItemDescriptions/InvDesc_850	Save a horse, ride a Mu
InventoryItemNames/InvItem_851	Copper Street Lamp
InventoryItemDescriptions/InvDesc_851	A nice light.
InventoryItemNames/InvItem_852	Cooked Prime Meat
InventoryItemDescriptions/InvDesc_852	It's cooked perfectly.
InventoryItemNames/InvItem_853	Raw Prime Meat
InventoryItemDescriptions/InvDesc_853	The meat from an alpha.
InventoryItemNames/InvItem_854	Repair Table
InventoryItemDescriptions/InvDesc_854	Repair damaged tools with repair kits.
InventoryItemNames/InvItem_855	Repair Kit
InventoryItemDescriptions/InvDesc_855	Use it to repair all your damaged tools at a repair table.
InventoryItemNames/InvItem_856	Charging Station
InventoryItemDescriptions/InvDesc_856	Charges and repairs power tools.
InventoryItemNames/InvItem_857	Old Sign
InventoryItemDescriptions/InvDesc_857	This looks nice I guess.
InventoryItemNames/InvItem_858	Iron Hoe
InventoryItemDescriptions/InvDesc_858	Hoe the dirt. Make it all soft and stuff.
InventoryItemNames/InvItem_859	Bat Wing
InventoryItemDescriptions/InvDesc_859	A bit of a bat.
InventoryItemNames/InvItem_860	Grain Mill
InventoryItemDescriptions/InvDesc_860	Turns seeds and grains into other things.
InventoryItemNames/InvItem_861	Flour
InventoryItemDescriptions/InvDesc_861	It's ready for baking.
InventoryItemNames/InvItem_862	Sugar
InventoryItemDescriptions/InvDesc_862	Sweet.
InventoryItemNames/InvItem_863	Worm Farm
InventoryItemDescriptions/InvDesc_863	Creates fertilizer every now and again
InventoryItemNames/InvItem_864	Machine Manual
InventoryItemDescriptions/InvDesc_864	Tells you what can go in what machine.
InventoryItemNames/InvItem_865	Warm Nordic Bed
InventoryItemDescriptions/InvDesc_865	Sleep here.
InventoryItemNames/InvItem_866	Warm Nordic Bedside Table
InventoryItemDescriptions/InvDesc_866	A wooden table for beside your bed.
InventoryItemNames/InvItem_867	Warm Nordic Bookshelf
InventoryItemDescriptions/InvDesc_867	Keep books here.
InventoryItemNames/InvItem_868	Warm Nordic Cabinet
InventoryItemDescriptions/InvDesc_868	Nordic
InventoryItemNames/InvItem_869	Warm Nordic Chair
InventoryItemDescriptions/InvDesc_869	Nordic Chair
InventoryItemNames/InvItem_870	Warm Nordic Coffee Table
InventoryItemDescriptions/InvDesc_870	A small table.
InventoryItemNames/InvItem_871	Warm Nordic Couch
InventoryItemDescriptions/InvDesc_871	A Couch. You can sit on it with a friend
InventoryItemNames/InvItem_872	Warm Nordic Table
InventoryItemDescriptions/InvDesc_872	A wooden table.
InventoryItemNames/InvItem_874	Warm Nordic Lamp
InventoryItemDescriptions/InvDesc_874	Keep books here.
InventoryItemNames/InvItem_875	Warm Nordic Seat
InventoryItemDescriptions/InvDesc_875	A single chair for sitting.
InventoryItemNames/InvItem_876	Red Hang Glider
InventoryItemDescriptions/InvDesc_876	Float your day away.
InventoryItemNames/InvItem_877	Butter Glider
InventoryItemDescriptions/InvDesc_877	Flap Flap
InventoryItemNames/InvItem_878	Dark Wooden Table
InventoryItemDescriptions/InvDesc_878	A wooden table.
InventoryItemNames/InvItem_879	Dark Wooden Seat
InventoryItemDescriptions/InvDesc_879	A single chair for sitting.
InventoryItemNames/InvItem_880	Dark Wooden Couch
InventoryItemDescriptions/InvDesc_880	A Couch. You can sit on it with a friend
InventoryItemNames/InvItem_881	Wooden Bedside Table
InventoryItemDescriptions/InvDesc_881	A wooden table for beside your bed.
InventoryItemNames/InvItem_882	Tea Pot
InventoryItemDescriptions/InvDesc_882	
InventoryItemNames/InvItem_883	Small Pot
InventoryItemDescriptions/InvDesc_883	
InventoryItemNames/InvItem_884	Rattan Basket
InventoryItemDescriptions/InvDesc_884	
InventoryItemNames/InvItem_885	Palm Wood Bench
InventoryItemDescriptions/InvDesc_885	Sit down outside why don't ya.
InventoryItemNames/InvItem_886	Hard Wood Bench
InventoryItemDescriptions/InvDesc_886	Sit down outside why don't ya.
InventoryItemNames/InvItem_887	Gum Wood Bench
InventoryItemDescriptions/InvDesc_887	Sit down outside why don't ya.
InventoryItemNames/InvItem_888	Iron Wood Bench
InventoryItemDescriptions/InvDesc_888	Sit down outside why don't ya.
InventoryItemNames/InvItem_889	Festoon Lights
InventoryItemDescriptions/InvDesc_889	Festive.
InventoryItemNames/InvItem_890	Mushroom Lamp
InventoryItemDescriptions/InvDesc_890	It's a fun-light.
InventoryItemNames/InvItem_891	Jackaroo Statue
InventoryItemDescriptions/InvDesc_891	A strange old statue.
InventoryItemNames/InvItem_892	Bush Devil Statue
InventoryItemDescriptions/InvDesc_892	A creepy old statue.
InventoryItemNames/InvItem_893	Bread
InventoryItemDescriptions/InvDesc_893	Cooked Flour
InventoryItemNames/InvItem_894	Fairy Bread
InventoryItemDescriptions/InvDesc_894	Sugar Bread
InventoryItemNames/InvItem_895	Pastie
InventoryItemDescriptions/InvDesc_895	Hand held vegie pie
InventoryItemNames/InvItem_896	Damper
InventoryItemDescriptions/InvDesc_896	Bush Bread
InventoryItemNames/InvItem_897	Sausage Roll
InventoryItemDescriptions/InvDesc_897	Long way to the shop
InventoryItemNames/InvItem_898	Prime Roast
InventoryItemDescriptions/InvDesc_898	All the best stuff on one plate
InventoryItemNames/InvItem_899	Golden Jackaroo Statue
InventoryItemDescriptions/InvDesc_899	A strange gold statue.
InventoryItemNames/InvItem_900	Golden Bush Devil Statue
InventoryItemDescriptions/InvDesc_900	A creepy gold statue.
InventoryItemNames/InvItem_901	Iron Cement Fence
InventoryItemDescriptions/InvDesc_901	Very Fancy
InventoryItemNames/InvItem_902	Copper Top Fence
InventoryItemDescriptions/InvDesc_902	Fany Fence
InventoryItemNames/InvItem_903	Umbrella
InventoryItemDescriptions/InvDesc_903	Keep the wet out
InventoryItemNames/InvItem_904	Bulletin Board
InventoryItemDescriptions/InvDesc_904	A place for the community to post news and requests.
InventoryItemNames/InvItem_905	Thunder Sac
InventoryItemDescriptions/InvDesc_905	This makes sparks?
InventoryItemNames/InvItem_906	Bat Zapper
InventoryItemDescriptions/InvDesc_906	A torch that Bats hate.
InventoryItemNames/InvItem_907	Gum Wood Steps
InventoryItemDescriptions/InvDesc_907	5, 6, 7, 8
InventoryItemNames/InvItem_908	Hard Wood Steps
InventoryItemDescriptions/InvDesc_908	5, 6, 7, 8
InventoryItemNames/InvItem_909	Gum Wood Lamp Post
InventoryItemDescriptions/InvDesc_909	Fence post that is also a light
InventoryItemNames/InvItem_910	Hard Wood Lamp Post
InventoryItemDescriptions/InvDesc_910	Fence post that is also a light
InventoryItemNames/InvItem_911	Copper Scythe
InventoryItemDescriptions/InvDesc_911	It swings faster!
InventoryItemNames/InvItem_912	Iron Scythe
InventoryItemDescriptions/InvDesc_912	This thing reaps.
InventoryItemNames/InvItem_913	Cement Bird Bath
InventoryItemDescriptions/InvDesc_913	Birds can wash in it.
InventoryItemNames/InvItem_914	Hardwood Crude Fence
InventoryItemDescriptions/InvDesc_914	A basic fence. Does the job.
InventoryItemNames/InvItem_915	Froggy Hood
InventoryItemDescriptions/InvDesc_915	Fit for a princess
InventoryItemNames/InvItem_916	Cat Hood
InventoryItemDescriptions/InvDesc_916	A hood for a cat burglar
InventoryItemNames/InvItem_917	Yellow Print Dress
InventoryItemDescriptions/InvDesc_917	Flowery
InventoryItemNames/InvItem_918	Yellow Print Pants
InventoryItemDescriptions/InvDesc_918	Easy to wear!
InventoryItemNames/InvItem_919	Brown Boat Shoes
InventoryItemDescriptions/InvDesc_919	Ahoy!
InventoryItemNames/InvItem_920	Floppy Straw Hat
InventoryItemDescriptions/InvDesc_920	This will keep that sun off ya.
InventoryItemNames/InvItem_921	Bunting Festoon
InventoryItemDescriptions/InvDesc_921	Festive.
InventoryItemNames/InvItem_922	House Customisation Kit
InventoryItemDescriptions/InvDesc_922	Use it on houses to customise their appearance
InventoryItemNames/InvItem_923	Gum Wood Flag Post
InventoryItemDescriptions/InvDesc_923	Fence post that has a lil flag on it
InventoryItemNames/InvItem_924	Palm Wood Flag Post
InventoryItemDescriptions/InvDesc_924	Fence post that has a lil flag on it
InventoryItemNames/InvItem_925	Dirt Printer
InventoryItemDescriptions/InvDesc_925	Prints dirt
InventoryItemNames/InvItem_926	Mighty Seeds
InventoryItemDescriptions/InvDesc_926	Some strange seeds.
InventoryItemNames/InvItem_927	Mighty Spread
InventoryItemDescriptions/InvDesc_927	It's kinda salty.
InventoryItemNames/InvItem_928	Hard Wood Flag Post
InventoryItemDescriptions/InvDesc_928	Fence post that has a lil flag on it
InventoryItemNames/InvItem_929	Black Wooden Crate
InventoryItemDescriptions/InvDesc_929	Store things in here if you like
InventoryItemNames/InvItem_930	Blue Wooden Crate
InventoryItemDescriptions/InvDesc_930	Store things in here if you like
InventoryItemNames/InvItem_931	Chrome Wooden Crate
InventoryItemDescriptions/InvDesc_931	Store things in here if you like
InventoryItemNames/InvItem_932	Gold Wooden Crate
InventoryItemDescriptions/InvDesc_932	Store things in here if you like
InventoryItemNames/InvItem_933	Green Wooden Crate
InventoryItemDescriptions/InvDesc_933	Store things in here if you like
InventoryItemNames/InvItem_934	Orange Wooden Crate
InventoryItemDescriptions/InvDesc_934	Store things in here if you like
InventoryItemNames/InvItem_935	Pink Wooden Crate
InventoryItemDescriptions/InvDesc_935	Store things in here if you like
InventoryItemNames/InvItem_936	Purple Wooden Crate
InventoryItemDescriptions/InvDesc_936	Store things in here if you like
InventoryItemNames/InvItem_937	Red Wooden Crate
InventoryItemDescriptions/InvDesc_937	Store things in here if you like
InventoryItemNames/InvItem_938	White Wooden Crate
InventoryItemDescriptions/InvDesc_938	Store things in here if you like
InventoryItemNames/InvItem_939	Yellow Wooden Crate
InventoryItemDescriptions/InvDesc_939	Store things in here if you like
InventoryItemNames/InvItem_940	Black Wooden Chest
InventoryItemDescriptions/InvDesc_940	Put stuff in here.
InventoryItemNames/InvItem_941	Blue Wooden Chest
InventoryItemDescriptions/InvDesc_941	Put stuff in here.
InventoryItemNames/InvItem_942	Chrome Wooden Chest
InventoryItemDescriptions/InvDesc_942	Put stuff in here.
InventoryItemNames/InvItem_943	Gold Wooden Chest
InventoryItemDescriptions/InvDesc_943	Put stuff in here.
InventoryItemNames/InvItem_944	Green Wooden Chest
InventoryItemDescriptions/InvDesc_944	Put stuff in here.
InventoryItemNames/InvItem_945	Orange Wooden Chest
InventoryItemDescriptions/InvDesc_945	Put stuff in here.
InventoryItemNames/InvItem_946	Pink Wooden Chest
InventoryItemDescriptions/InvDesc_946	Put stuff in here.
InventoryItemNames/InvItem_947	Purple Wooden Chest
InventoryItemDescriptions/InvDesc_947	Put stuff in here.
InventoryItemNames/InvItem_948	Red Wooden Chest
InventoryItemDescriptions/InvDesc_948	Put stuff in here.
InventoryItemNames/InvItem_949	White Wooden Chest
InventoryItemDescriptions/InvDesc_949	Put stuff in here.
InventoryItemNames/InvItem_950	Yellow Wooden Chest
InventoryItemDescriptions/InvDesc_950	Put stuff in here.
InventoryItemNames/InvItem_951	Salon Deed
InventoryItemDescriptions/InvDesc_951	Build a place for stylin' hair
InventoryItemNames/InvItem_952	Butterfly Orchid
