Key	English	French	Russian	Chinese (Simplified)	Japanese	Korean	Chinese (Traditional)	Thai	Indonesian	Italian	Spanish (Latin Americas)	Portuguese	Turkish	German	Notes
BuildingNames/Franklyn's Lab	Franklyn's Lab				フランクリンの研究所	프랭클린의 연구실									
BuildingNames/Guest House	Guest House				ゲストハウス	영빈관									
BuildingNames/House	House				住宅	집									
BuildingNames/Irwin's Barn	Irwin's Barn				アーウィンの納屋	어윈의 헛간									
BuildingNames/John's Goods	John's Goods				ジョンズ・グッズ	존스 굿즈									
BuildingNames/Melvin's Place	Melvin's Place				メルヴィンの家	멜빈스 플레이스									
BuildingNames/Mine	Mine				自宅	내 거									
BuildingNames/Players House	{0}'s House				{0}の家	{0}의 집									
BuildingNames/Sally's Salon	Sally's Salon				サリーのサロン	샐리의 살롱									
BuildingNames/Tele Pad	Tele Pad				テレパッド	텔레 패드									
BuildingNames/The Bank	The Bank				銀行	은행									
BuildingNames/The Greenhouse	The Greenhouse				グリーンハウス	온실									
BuildingNames/The Museum	The Museum				博物館	박물관									
BuildingNames/The Tuckerbox	The Tuckerbox				タッカーボックス	더 터커박스									
BuildingNames/Threadspace	Threadspace				スレッドスペース	스레드 공간									
BuildingNames/Town Hall	Town Hall				役場	시청									
BuildingNames/Visitor's Site	Visitor's Site				訪問者拠点	방문자 사이트									
BuildingNames/Wish Fountain	Wish Fountain				願いの泉	소원 분수									
Bulletinboard/AcceptButton	Accept Request					요청 수락									
Bulletinboard/AcceptedButton	Accepted					수락됨									
Bulletinboard/Animal Research Centre_Name	Animal Research Centre					동물연구센터									
Bulletinboard/Bring	Bring <npcName> <itemAmount> <itemName>	Apporte <itemAmount> <itemName> à <npcName>	Принесите <npcName> <itemAmount> <itemName>	带给<npcName> <itemAmount> <itemName>	<npcName>に<itemAmount>の<itemName>を持って行く	<npcName> <itemAmount> <itemName> 가져오기						Traga <npcName> <itemAmount> <itemName>			
Bulletinboard/BringCaptured	Bring captured	Apporter ce qui a été capturé	Принести захваченный	猎物运输	捕まえたものを持って行く	캡처 가져오기						Trazer capturado			
Bulletinboard/BulletinsButton	Bulletins					게시판									
Bulletinboard/CalendarButton	Calendar					달력									
Bulletinboard/Capture	Bring captured <animalName> to a Drop Off Point for an increased reward.	Apporte <animalName> capturé à un Point de collecte pour obtenir une meilleure récompense.	Принесите пойманного <animalName> в точку высадки, чтобы получить увеличенную награду.	将捕获的<animalName>运输至送货点可获得更多奖励。	捕まえた<animalName>をドロップオフポイントに運ぶと報酬が増加する。	더 많은 보상을 받으려면 포획한 <animalName>을(를) 하차 지점으로 데려가세요.						Trazer <animalName> para um Ponto de coleta para ter um prêmio maior.			
Bulletinboard/CaptureRequestTemplate	The Animal Research Centre is offering an increased reward for each <boardHuntRequestAnimal> delivered for a limited time.þþþþYou will receive this reward for each <boardHuntRequestAnimal> delivered during this period.þ					동물연구센터에서는 기간 한정으로 <boardHuntRequestAnimal>을 배송할 때마다 더 많은 보상을 제공하고 있습니다.þþþþ이 기간 동안 전달된 각 <boardHuntRequestAnimal>에 대해 이 보상을 받게 됩니다.þ									
Bulletinboard/CaptureRequestTemplate_Title	<boardHuntRequestAnimal> Capture Reward					<boardHuntRequestAnimal> 포획 보상									
Bulletinboard/Collect	Collect <itemAmount> <itemName> <amountCollected>	Recueille <itemAmount> <itemName> <amountCollected>	Соберите <itemAmount> <itemName> <amountCollected>	收集 <itemAmount> <itemName> <amountCollected>	<itemAmount>の<itemName>を集める。<amountCollected>	<항목 금액> <항목 이름> <수집 금액> 수집						Coletar <itemAmount> <itemName> <amountCollected>			
Bulletinboard/CompostRequestTemplate	I'm making compost. If anyone brings me <boardRequestItem> I'll give them <boardRewardItem>.					퇴비를 만들고 있어요. 누구든지 나에게 <boardRequestItem>을 가져오면 나는 그 사람에게 <boardRewardItem>을 줄 것입니다.									
Bulletinboard/CompostRequestTemplate_Title	Compost Request					퇴비 요청									
Bulletinboard/CookingRequestTemplate	I'm making <boardRewardItem> and I'm short <boardRequestItem>!þIf anyone can bring me <boardRequestItem>, I'll happily share some <boardRewardItem> with you!					저는 <boardRewardItem>을 만들고 있는데 <boardRequestItem>이 부족해요!þ누구든지 <boardRequestItem>을 가져오시면 기꺼이 <boardRewardItem>을 공유해 드리겠습니다!									
Bulletinboard/CookingRequestTemplate_Title	Ingredient Request					재료요청									
Bulletinboard/CraftingRequestTemplate	I'm looking for skilled crafter who is able to craft <boardRequestItem> for me.þþReward on delivery!					저를 위해 <boardRequestItem>을 제작해 주실 수 있는 숙련된 제작자를 찾고 있습니다.þþ배송시 보상!									
Bulletinboard/CraftingRequestTemplate_Title	Crafting Request					제작 의뢰									
Bulletinboard/DayAgo	day ago	jour passé	День назад	一天前	日前	하루 전						dia atrás			
Bulletinboard/DaysAgo	days ago	jours passés	дней назад	天前	日前	며칠 전						dias atrás			
Bulletinboard/FirstPost	Our town now has a Bulletin board! Please feel free to leave any reminders, announcements or requests here for the town to see!					우리 마을에는 이제 게시판이 생겼습니다! 마을에서 볼 수 있도록 알림, 공지사항, 요청사항을 여기에 남겨주세요!									
Bulletinboard/FirstPost_Title	Bulletin Board!					게시판!									
Bulletinboard/Hunt	Hunt down the <animalName> using its last know location on the map	Chasse <animalAmount> <animalName> <amountCompleted>	Охота	捕猎 <animalAmount> <animalName> <amountCompleted>	<animalAmount>の<animalName>を狩る。<amountCompleted>	<동물수량> <동물이름> <완료수량> 사냥						Caçar <animalAmount> <animalName> <amountCompleted>			
Bulletinboard/HuntingRequestTemplate	<boardHuntRequestAnimal> has been spotted at this location. This is a very dangerous Alpha animal and should only be taken on by an experienced hunter.					<boardHuntRequestAnimal>이 이 위치에서 발견되었습니다. 이것은 매우 위험한 알파 동물이므로 숙련된 사냥꾼만이 맡아야 합니다.									
Bulletinboard/HuntingRequestTemplate_Title	<boardHuntRequestAnimal>					<boardHuntRequestAnimal>									
Bulletinboard/Investigate	Visit the location on the map to investigate					지도에 표시된 위치를 방문하여 조사하세요.									
Bulletinboard/MonthAgo	month ago	mois passé	месяц назад	一月前	ヶ月前	한 달 전						mês atrás			
Bulletinboard/MonthsAgo	months ago	mois passés	несколько месяцев назад	月前	ヶ月前	몇 달 전						meses atrás			
Bulletinboard/NewPost	New!					새로운!									
Bulletinboard/Photograph	Photograph <animalsInPhoto>	Photographie <animalsInPhoto>	Фотография <animalsInPhoto>	拍摄<animalsInPhoto>	<animalsInPhoto>を撮る	사진 <animalsInPhoto>						Fotografar <animalsInPhoto>			
Bulletinboard/PhotoRequestTemplate	I would love to see a photo <getAnimalsInPhotoList>.					<getAnimalsInPhotoList> 사진을 보고 싶습니다.									
Bulletinboard/PhotoRequestTemplate_Title	Photo Request					사진요청									
Bulletinboard/PresentDrop Board Template	You might think I'm crazy, but I swear I saw Jackaroo flying in the sky last night.þþI think they might have dropped something?þþSomeone should check that out!					내가 미쳤다고 생각할 수도 있겠지만, 어젯밤에 Jackaroo가 하늘을 나는 것을 본 적이 있습니다.þþ내 생각엔 그들이 뭔가를 떨어뜨린 것 같은데?þþ누군가 그것을 확인해야합니다!									
Bulletinboard/PresentDrop Board Template_Title	Investigation Request					조사요청									
Bulletinboard/Reward	Reward					보상									
Bulletinboard/SateliteTemplate	I swear I saw something fall out of the sky the other night. þþMaybe someone can go check it out?					지난 밤에 하늘에서 뭔가 떨어지는 것을 봤다고 맹세합니다. þþ누군가 가서 확인해 볼 수 있을까요?									
Bulletinboard/SateliteTemplate_Title	Investigation Request					조사요청									
Bulletinboard/ShippingRequestTemplate	I need to send a big shipment of <boardRequestItem> back home.þþIf anyone can help me fill this shipment, please come and see me with the goods.					<boardRequestItem>을 대량으로 집으로 보내야 합니다.þþ이 배송물을 채우는 데 도움을 줄 수 있는 사람이 있으면 와서 물건을 가지고 저를 만나 주세요.									
Bulletinboard/ShippingRequestTemplate_Title	Shipping Request					배송요청									
Bulletinboard/Show	Show <npcName> the photograph	Montre la photo à <npcName>	Покажите <npcName> фотографию	向<npcName>展示照片	<npcName>に写真を見せる	<npcName>에게 사진 보여주기						Mostrar a foto para <npcName>			
Bulletinboard/SmeltingRequestTemplate	If anyone can bring me <boardRequestItem> I can give them <boardRewardItem>.					누구든지 나에게 <boardRequestItem>을 가져올 수 있다면 나는 그 사람에게 <boardRewardItem>을 줄 수 있습니다.									
Bulletinboard/SmeltingRequestTemplate_Title	Smelting Request					제련 의뢰									
Bulletinboard/TalkTo	Speak to <npcName>	Parle avec <npcName>	Поговорите с <npcName>	对话<npcName>	<npcName>と話す	<npcName>과(와) 대화하세요						Falar com <npcName>			
Bulletinboard/TaskComplete	TASK COMPLETE					작업 완료									
Bulletinboard/TaskExpired	EXPIRED					만료됨									
Bulletinboard/ThePhotograph	the photo	la photo	фотография	照片	写真	사진						a foto			
Bulletinboard/ToADropOffPoint	to a Drop Off Point for an increased reward	à un Point de collecte pour obtenir une meilleure récompense	в пункт выдачи за увеличенную награду	运输至送货点可获得更多奖励	ドロップオフポイントに運ぶと報酬が増加する。	보상 증가를 위해 하차 지점으로 이동						para um Ponto de coleta para ter um prêmio maior			
Bulletinboard/Today	today	aujourd'hui	Сегодня	今天	今日	오늘						hoje			
Bulletinboard/Town Announcement_Name	Town Announcement					타운 공지사항									
Bulletinboard/Trade	Trade <itemName> with <npcName>					<npcName>과(와) <itemName> 거래하기									
Bulletinboard/TradeRequestTemplate	I have a <boardRewardItem> I don't want anymore. I'm willing to trade <boardRequestItem> for it.þIf anyone is interested, please come see me.					더 이상 원하지 않는 <boardRewardItem>이 있습니다. <boardRequestItem>을(를) 교환하겠습니다.þ관심 있는 분은 저를 만나러 오세요.									
Bulletinboard/TradeRequestTemplate_Title	Want to Trade					거래하고 싶다									
Bulletinboard/WeekAgo	week ago	semaine passée	неделю назад	一周前	週間前	일주일 전						semana atrás			
Bulletinboard/WeeksAgo	weeks ago	semaines passées	недель назад	周前	週間前	몇 주일 전에						semanas atrás			
Bulletinboard/YearAgo	year ago	année passée	год назад	一年前	年前	년 전						ano atrás			
Bulletinboard/YearsAgo	years ago	années passées	много лет назад	年前	年前	여러 해 전에						anos atrás			
Bulletinboard/Yesterday	yesterday	hier	вчерашний день	昨天	昨日	어제						ontem			
ConversationTagReplacements/Airship	Airship	Dirigeable			飛行船	비행선			Airship		dirigible	Nave		Luftschiff	
ConversationTagReplacements/Airships	Airships	Dirigeables			飛行船	비행선			Airship		dirigibles	Naves		Luftschiffe	
ConversationTagReplacements/Aurora	Aurora	Aurore			オーロラ	오로라			Aurora		aurora	Aurora		Morgenrot	
ConversationTagReplacements/Birthday	Birthday	Anniversaire			誕生日	생일			Hari Ulang Tahun		cumpleaños	Aniversário		Geburtstag	
ConversationTagReplacements/Bountiful_Wish	Bountiful Wish	Vœu généreux			恵みの願い	풍성한 소원			Permohonan Berlimpah		deseo de abundancia	Pedido generoso		Großzügiger Wunsch	
ConversationTagReplacements/Bug Catching Comp	Bug Catching Comp	Concours d'attrape-insectes			虫捕り大会	버그 잡기 광고			Kompetisi Menangkap Serangga		competencia de insectos	Competição de pegar insetos		Wettbewerb im Krabbeltierfangen	
ConversationTagReplacements/Comp Log Book	Comp Log Book	Journal de bord du concours			大会日誌	Comp Log Book			Buku Catatan Kompetisi		libro de inscripción	Livro de registro de competições		Wettbewerbsprotokoll	
ConversationTagReplacements/Dangerous_Wish	Dangerous Wish	Vœu dangereux			危険な願い	위험한 소원			Permohonan Berbahaya		deseo peligroso	Pedido perigoso		Gefährlicher Wunsch	
ConversationTagReplacements/Day	Day	Jour			日	낮			Hari		día	Dia		Tag	
ConversationTagReplacements/Dink	Dink	Dink			ディンク	딩크			Dink		dink	Dink		Dink	
ConversationTagReplacements/Dinks	Dinks	Dinks			ディンク	딩크스			Dink		dinks	Dinks		Dinks	
ConversationTagReplacements/Fishing Comp	Fishing Comp	Concours de pêche			魚釣り大会	낚시 광고			Kompetisi Memancing		competencia de pesca	Competição de pesca		Angelwettbewerb	
ConversationTagReplacements/Flying Lantern	Flying Lantern	Lanterne volante			空飛ぶランタン	플라잉 랜턴			Lampion Terbang		linterna voladora	Lanterna voadora		Himmelslaterne	
ConversationTagReplacements/Flying Lanterns	Flying Lanterns	Lanternes volantes			空飛ぶランタン	플라잉 랜턴			Lampion Terbang		linternas voladoras	Lanternas voadoras		Himmelslaternen	
ConversationTagReplacements/Fortuitous_Wish	Fortuitous Wish	Vœu de bonne fortune			偶然の願い	행운의 소원			Permohonan Keberuntungan		deseo fortuito	Pedido fortuito		///Glücklicher Wunsch	
ConversationTagReplacements/Island Day	<IslandName> Day	Journée de <IslandName>			<IslandName>の日	<섬 이름> 요일			Hari <IslandName>		Día de <IslandName>	Dia de <IslandName>		<IslandName>-Tag	
ConversationTagReplacements/Johns Anniversary	John's Goods Anniversary	Anniversaire de la Boutique de John			ジョンズ・グッズアニバーサリー	존의 굿즈 기념일			Hari Jadi John's Goods		aniversario de El Bazar de John	Aniversário de Produtos do John		Jahrestag von Johns An- und Verkauf	
ConversationTagReplacements/Journal	Journal	Journal			ジャーナル	신문			Jurnal		diario	Diário		Tagebuch	
ConversationTagReplacements/Kite	Kite	Cerf-volant			凧	연			Layang-layang		cometa	Pipa		Drachen	
ConversationTagReplacements/Licence	Licence	Licence			ライセンス	특허			Lisensi		licencia	Licença		Lizenz	
ConversationTagReplacements/Licences	Licences	Licences			ライセンス	라이센스			Lisensi		licencias	Licenças		Lizenzen	
ConversationTagReplacements/No_Wish	No wish has been made...	Aucun vœu n'a été fait...			何も願っていない...	소원은 이루어지지 않았습니다...			Belum ada permohonan yang dibuat...		No se pidió un deseo…	Nenhum pedido foi feito...		Es wurde kein Wunsch geäußert …	
ConversationTagReplacements/Nomad	Nomad	Nomade			ノマド	유목민			Pengembara		nómada	Nômade		Nomade	
ConversationTagReplacements/Nomads	Nomads	Nomades			ノマド	유목민			Pengembara		nómadas	Nômades		Nomaden	
ConversationTagReplacements/NPC Birthday	{0}'s Birthday	Anniversaire de {0}			{0}の誕生日	{0}의 생일			Hari Ulang Tahun {0}		cumpleaños de {0}	Aniversário de {0}		{0}s Geburtstag	
ConversationTagReplacements/Peaceful_Wish	Peaceful Wish	Vœu de paix			平和な願い	평화로운 소원			Permohonan Kedamaian		deseo pacífico	Pedido pacífico		Friedlicher Wunsch	
ConversationTagReplacements/Permit Points	Permit Points	Points de permis			許可ポイント	허가 포인트			Permit Point		puntos de autorización	Pontos de autorização		Genehmigungspunkte	
ConversationTagReplacements/PetName1	darl	mon biquet			ダーリン	자기야			darl			queri		Schatz	
ConversationTagReplacements/PetName2	love	mon chou			ラブ	사랑			love		amor	amor		Liebes	
ConversationTagReplacements/PetName3	possum	mon opossum			ポッサム	주머니쥐			possum		zarigüeya	gambá		Opossum	
ConversationTagReplacements/Regretful_Wish	Regretful Wish	Vœu de regret			無念の願い	안타까운 소원			Permohonan Penyesalan		deseo arrepentido	Pedido arrependido		Bedauernder Wunsch	
ConversationTagReplacements/Shift	Shift	Glissement			シフト	옮기다			Shift		turno	Turno		Verwerfung	
ConversationTagReplacements/Shifts	Shifts	Glissements			シフト	교대근무			Shift		turnos	Turnos		Verwerfungen	
ConversationTagReplacements/Sky Fest	Sky Fest	Fête du ciel			空祭り	스카이 페스트			Festival Langit		Festival del cielo	Festival do céu		Himmelsfest	
ConversationTagReplacements/Snag	Snag	Hot-dog			ソーセージ	가지 그루터기			Snag		salchicha	Linguiça		Würstchen	
ConversationTagReplacements/Snag Sizzle	Snag Sizzle	Grillade de hot-dog			ソーセージシズル	스낵 지글지글			Snag Bakar		hot dog	Linguiça frita		Grillfest	
ConversationTagReplacements/Snag Sizzles	Snag Sizzles	Grillades de hot-dog			ソーセージシズル	스낵 지글지글			Snag Bakar		hot dogs	Linguiças fritas		Grillfeste	
ConversationTagReplacements/Snags	Snags	Hot-dogs			ソーセージ	스낵			Snag		salchichas	Linguiças		Würstchen	
ConversationTagReplacements/SouthCity	South City	Ville du Sud			サウスシティ	사우스 시티			South City		Ciudad del Sur	Vilarejo Austral		South City	
ConversationTagReplacements/Spotless_Wish	Spotless Wish	Vœu pur			汚れなき願い	흠 없는 소원			Permohonan Kebersihan		deseo inmaculado	Pedido impecável		///Unbescholtener Wunsch	
ConversationTagReplacements/Year	Year	Année			年	년도			Tahun		año	Ano		Jahr	
Cutscene/Narration_000	A long time ago, everything went South.	Il y a longtemps, tout a migré vers le Sud.	Давным-давно все в мире двинулось на Юг.	很久很久以前，一切事物都急转“南”下。	遙か昔は、誰もがサウスを目指した。	아주 먼 옛날에 모든 게 남쪽으로 이동한 이상한 일이 벌어졌습니다.	很久以前，一切都變糟了。	กาลครั้งหนึ่ง ทุกอย่างตกต่ำลง	Dahulu kala, semuanya menjadi kacau dan berpindah ke Selatan.	Tanto tempo fa, tutto è andato a rotoli.	Hace mucho tiempo, todo se echó a perder.	Há muito tempo, a humanidade passou por maus bocados.	Uzun zaman önce her şey Güneye gitti.	Vor sehr langer Zeit gingen alle nach Süden.	
Cutscene/Narration_001	Almost everybody was forced to move to South City.	Presque tout le monde a dû déménager à Ville du Sud.	Почти все были вынуждены переехать в Южный Город.	绝大多数人被迫搬到南城。	ほぼ例外なく、サウスシティに行かざるを得なかった。	그래서 거의 모든 사람이 사우스시티로 강제 이주당했습니다.	幾乎所有人都被迫搬到南方市。	แทบทุกคนจำใจต้องย้ายไปอยู่เซาท์ซิตี้	Hampir semua orang terpaksa pindah ke South City.	Quasi tutti sono stati costretti a trasferirsi a South City.	Casi todo el mundo se vio obligado a mudarse a Ciudad del Sur.	Quase todo mundo foi forçado a se mudar para o Vilarejo Austral.	Neredeyse herkes Güney Şehrine taşınmaya mecbur kaldı.	Fast alle waren gezwungen, nach South City zu ziehen.	
Cutscene/Narration_002	The people of South City live cold and miserable lives.	Les habitants de Ville du Sud vivent une vie froide et misérable.	Люди Южного Города проживали холодную и убогую жизнь.	南城的居民们过着寒冷凄苦的生活。	サウスシティの人々は、冷酷で悲惨な人生を送る。	사우스시티의 시민들은 춥고 고통스런 삶을 살았습니다.	南方市的人們過著寒冷又悲慘的生活。	ชาวเซาท์ซิตี้ใช้ชีวิตอย่างหนาวเหน็บและหม่นหมอง	Orang-orang di South City menjalani kehidupan yang dingin dan menyedihkan.	Gli abitanti di South City vivono una vita fredda e miserabile.	Los habitantes de Ciudad del Sur llevan una vida fría y miserable.	As pessoas do Vilarejo Austral têm vidas frias e miseráveis.	Güney Şehrinin halkı zor şartlar altında perişan bir hayat yaşadı.	Die Menschen in South City leben ein kaltes und erbärmliches Leben.	
Cutscene/Narration_003	You were born here.	C'est là que tu es né(e).	Ты живешь здесь с рождения.	这里是你的故乡。	君はここで生まれたのだ。	당신은 여기에 태어났습니다.	你出生在這裡。	นี่คือบ้านเกิดของเธอ	Kamu lahir di sini.	Sei nato qui.	Tú naciste aquí.	Você nasceu aqui.	Senin doğduğun yer işte burası.	Du wurdest hier geboren.	
Cutscene/Narration_004	Most people have no desire to leave.	La plupart des gens n'ont pas envie de partir.	У большинства людей нет желания уехать.	大部分人没有想要离开的意愿。	ここを去ろうとする人はほぼいない。	대부분의 사람들은 여길 떠날 마음이 없습니다.	大多數人都不想離開。	คนส่วนใหญ่ไม่อยากย้ายไปไหน	Kebanyakan orang tidak memiliki keinginan untuk pergi.	La maggior parte delle persone non ha alcun desiderio di andarsene.	La mayoría de la gente no quiere irse.	A maioria das pessoas não pensa em ir embora.	Birçok insanın buradan ayrılmaya hevesi yoktu.	Die meisten Menschen wollen nicht weg.	
Cutscene/Narration_005	But you do, more than anything.	Mais toi si, plus que tout.	Но у тебя есть, больше чем любое другое.	可你却极度渴望逃离此地。	しかし君は、何が何でも去りたいと思っている。	하지만 당신은 이곳을 떠나는 게 소원입니다.	但你卻渴望離開，比任何事情都更渴望。	แต่เธอปรารถนาอย่างแรงกล้าที่จะจากไปให้ไกล	Namun kamu ingin pergi, lebih dari segalanya.	Ma tu sì, più di ogni altra cosa.	Pero tú sí, más que nada.	Mas você sim, mais do que qualquer coisa.	Ama senin vardı, hem de her şeyden çok.	Aber du willst weg, das ist dein größter Wunsch.	
