Key	English
Generic/FirstDayFaintConvo_Intro_007_189124	<no>If the world starts losing colour you know you’ve worked too hard.
Generic/FirstDayFaintConvo_Intro_008_189124	<yes>Please make sure you eat something to keep your energy up.
Generic/FirstDayFaintConvo_Intro_009_189124	<shy>When you didn’t return after a while, I had to call for a search party from <SouthCity> to come and find you.
Generic/FirstDayFaintConvo_Intro_010_189124	<worried>Those guys delivered you here, but it looks like they went through your pockets and took a fair cut of your <Dinks>.
Generic/FirstDayFaintConvo_Intro_011_189124	Maybe they thought you wouldn't notice?
Generic/FirstDayFaintConvo_Intro_012_189124	<thinking>It looks like some of your tools have taken a bit of damage too…
Generic/FirstDayFaintConvo_Intro_013_189124	Please be careful out there, <PlayerName>.
Generic/FirstDayFaintConvo_Intro_014_189124	<haha>I’ll tell you what, I’m glad you’re okay, but I don’t really want to have to go through that again!
Npc1/Storm_Greeting 0_Intro_000_189140	<yes>It’s tough to do inventory with all this stormy racket…
Npc1/Storm_Greeting 0_Intro_001_189140	What are you up to, <PlayerName>?
Npc1/Storm_Greeting 0_Response_003_000_189140	Try and stay safe and dry, <PlayerName>!
Npc1/Hot_Greeting 1_Intro_000_189146	<shy>Phew!þ
Npc1/Hot_Greeting 1_Intro_001_189146	<haha>It’s nearly as hot as my low, low prices!þ
Npc1/Hot_Greeting 1_Intro_002_189146	You wanted to chat <PlayerName>?þ
Npc1/Hot_Greeting 1_Response_003_000_189146	Okay then, see you later, <PlayerName>.
Generic/TradeCompleteConvo_Intro_000_189156	Oh, you're interested in my <BulletinBoardReward> ?
Generic/TradeCompleteConvo_Option_000_189156	I want to trade.
Generic/TradeCompleteConvo_Option_001_189156	No thank you.
Generic/TradeCompleteConvo_Response_000_000_189156	Alright, let's see what you have!
Generic/TradeCompleteConvo_Response_001_000_189156	No problems.
Npc3/Cold_Greeting 0_Intro_000_189160	Bloody freezin’, huh?
Npc3/Cold_Greeting 0_Intro_001_189160	Need somethin’?
Npc3/Cold_Greeting 0_Response_003_000_189160	Keep it up, young <PlayerName>.
Generic/GivenCorrectCraftedItem_Intro_000_189162	<glee>Thanks a lot, <PlayerName>!
Generic/GivenCorrectCraftedItem_Intro_001_189162	<yes>When I put up that post, I knew you would be the one to pull through for me.
Generic/GivenCorrectCraftedItem_Intro_002_189162	Here is your <BulletinBoardReward>!
Npc0/Highest_Friendship_Greeting 2_Intro_000_189166	Looks like my day just got a little better.
Npc0/Highest_Friendship_Greeting 2_Intro_001_189166	<glee>Nice to see you <PlayerName>!
Npc0/Highest_Friendship_Greeting 2_Response_003_000_189166	<wave>See you around!
Npc4/RandomConvo_012_Intro_000_189172	<thinking>I was thinking, what if you could make clothes so light you could float in them?þ
Npc4/RandomConvo_012_Intro_001_189172	Do you think that’s possible?þ
Npc4/RandomConvo_012_Intro_002_189172	<glee>Imagine soaring above the clouds so high that everybody got a chance to check out your threads.þ
Npc7/Gossip_About_NPC_010_Intro_000_189216	I reckon if you dig deep enough, <NPCName>’s got a heart of solid gold.þ
Npc7/Gossip_About_NPC_010_Intro_001_189216	<haha>Maybe bring two shovels!þ
Npc7/Gossip_About_NPC_006_Intro_000_189224	<NPCName> has been through so much, and it’s only made her stronger!þþ
Npc7/Gossip_About_NPC_006_Intro_001_189224	<yes>I think we could learn a lot from her.þ
Npc4/RandomConvo_030_Intro_000_189256	I’m so glad I’ve met you, <PlayerName>.þ
Npc4/RandomConvo_030_Intro_001_189256	<shy>I feel like my life has totally turned around since meeting you, y’know?þ
Npc4/RandomConvo_030_Intro_002_189256	<shy>I hope I’ve made you feel that way too.þ
Generic/GivenCorrectPhoto_Intro_000_189262	Wow!
Generic/GivenCorrectPhoto_Intro_001_189262	<yes>This is a great photo, <PlayerName>.
Generic/GivenCorrectPhoto_Intro_002_189262	<glee>Thank you for taking this for me!
Generic/GivenCorrectPhoto_Intro_003_189262	Can I keep it? I will pay <BulletinBoardReward>?
Generic/GivenCorrectPhoto_Option_000_189262	It's all yours!
Generic/GivenCorrectPhoto_Option_001_189262	Actually I want it...
Generic/GivenCorrectPhoto_Response_000_000_189262	<glee>Thank you very much <PlayerName>!
Generic/GivenCorrectPhoto_Response_000_001_189262	Here is <BulletinBoardReward>!
Generic/GivenCorrectPhoto_Response_001_000_189262	<sigh>Well, thanks for letting me take a look anyway...
Npc6/RandomConvo_011_Intro_000_189270	I’ll tell you what, I really enjoy chatting to you, <PlayerName>.
Npc6/RandomConvo_011_Intro_001_189270	It’s probably because you don’t talk as much as I do! You really know how to listen.þ
Npc6/RandomConvo_011_Option_000_189270	I wanted...
Npc6/RandomConvo_011_Option_001_189270	Actually...
Npc6/RandomConvo_011_Response_000_000_189270	I’ll tell you what! You’re a true blue friend, <PlayerName>.
Npc6/RandomConvo_011_Response_001_000_189270	I’ll tell you what! You’re a true blue friend, <PlayerName>.
Npc6/Morning_Greeting 0_Intro_000_189304	Morning, <PlayerName>.
Npc6/Morning_Greeting 0_Response_003_000_189304	Take it easy, okay?
Npc3/Arvo_Greeting 2_Intro_000_189322	Love a good sunset.
Npc3/Arvo_Greeting 2_Response_003_000_189322	Sunsets like this remind me of the good ol' times…
Npc1/Wind_Greeting 0_Intro_000_189332	My dad used to say “Windy weather is the best time to set sale!”þ
Npc1/Wind_Greeting 0_Intro_001_189332	<no>No idea what he meant.þ
Npc1/Wind_Greeting 0_Response_003_000_189332	<sigh>Oh, okay then. þ
Npc1/Wind_Greeting 0_Response_003_001_189332	See you <PlayerName>.þ
Npc6/NonLocalWantsToMove_Intro_000_189348	<no>I'm sorry, <PlayerName>.
Npc6/NonLocalWantsToMove_Intro_001_189348	<shy>Only perminant residents can move buildings
Npc6/RandomConvo_020_Intro_000_189360	Thank you for looking after my Father’s <Journal>.þ
Npc6/RandomConvo_020_Intro_001_189360	<proud>I’ll tell you what, some of those milestones will be tough to beat!þ
Npc6/RandomConvo_020_Intro_002_189360	<yes>But take your time, <PlayerName>.þ
Npc6/RandomConvo_020_Intro_003_189360	<glee>I’m sure you’ll reach them eventually!
Npc6/Morning_Greeting 2_Intro_000_189368	Good morning, <PlayerName>.
Npc6/Morning_Greeting 2_Response_003_000_189368	<yes>See you around.
Npc1/Highest_Friendship_Greeting 2_Intro_000_189392	Oh, it’s <PlayerName>.þþComing to see me?þ
Npc1/Highest_Friendship_Greeting 2_Intro_001_189392	<haha>But I’m not even open!þ
Npc1/Highest_Friendship_Greeting 2_Response_003_000_189392	Hope we chat again, okay?
Npc0/High_Friendship_Greeting 2_Intro_000_189398	It’s <PlayerName>!
Npc0/High_Friendship_Greeting 2_Intro_001_189398	Right on!
Npc0/High_Friendship_Greeting 2_Response_003_000_189398	<wave>Later!
Npc3/High_Friendship_Greeting 0_Intro_000_189400	Hey <PlayerName>.þ
Npc3/High_Friendship_Greeting 0_Intro_001_189400	How’s it going, mate?þ
Npc3/High_Friendship_Greeting 0_Response_003_000_189400	Have a good one.
Npc3/Arvo_Greeting 1_Intro_000_189420	What brings you to me this arvo?
Npc3/Arvo_Greeting 1_Response_003_000_189420	<np>Not a lot of day left to enjoy. 
Npc1/Highest_Friendship_Greeting 0_Intro_000_189452	Hey, it’s <PlayerName>, my favourite customer!þ
Npc1/Highest_Friendship_Greeting 0_Intro_001_189452	What can I get you, mate?þ
Npc1/Highest_Friendship_Greeting 0_Response_003_000_189452	See you later, <PlayerName>!
Generic/GivenSmeltingIngredient_Intro_000_189478	Thank you, <PlayerName>.
Generic/GivenSmeltingIngredient_Intro_001_189478	Take these <BulletinBoardReward>. I just like smelting them and I don't really need them.
Npc4/RandomConvo_035_Intro_000_189484	Sometimes it feels like we’re being watched, y’know?þ
Npc4/RandomConvo_035_Intro_001_189484	<thinking>Like there is someone listening to our conversation right now.þ
Npc4/RandomConvo_035_Intro_002_189484	Do you ever get that feeling?þ
Generic/ShipmentRequestComplete_Intro_000_189486	Wow! You really got the shipment ready for me?
Generic/ShipmentRequestComplete_Option_000_189486	Sure did.
Generic/ShipmentRequestComplete_Option_001_189486	Nah.
Generic/ShipmentRequestComplete_Response_001_000_189486	Oh, righto, <PlayerName>...
Generic/SmeltingRequestCompleteConvo_Intro_000_189502	You brought me <requestItem> ?
Generic/SmeltingRequestCompleteConvo_Option_000_189502	Here you go!
Generic/SmeltingRequestCompleteConvo_Option_001_189502	Not yet, sorry.
Generic/SmeltingRequestCompleteConvo_Response_000_000_189502	Looking forward to smelting these puppies down!
Generic/SmeltingRequestCompleteConvo_Response_001_000_189502	Ah... I see.
Npc6/RandomConvo_017_Intro_000_189514	<pumped>There’s so much for us still to discover here on <IslandName>!
Npc6/RandomConvo_017_Intro_001_189514	<glee>I can’t I just can’t wait to hear all about it.
Npc4/RandomConvo_034_Intro_000_189534	Hey <PlayerName>, thank you for always being there to help me out when I need something done.þ
Npc4/RandomConvo_034_Intro_001_189534	<shy>I don’t think you know how much you have done for me..þ
Npc4/RandomConvo_034_Intro_002_189534	<shy>So I just wanted to say thank you, y’know?þ
Npc4/RandomConvo_021_Intro_000_189544	<shocked>Woah!þ
Npc4/RandomConvo_021_Intro_001_189544	<worried>Did you just feel that?þþ
Npc4/RandomConvo_021_Intro_002_189544	<yes>I totally just felt the whole atmosphere around me change, y’know?
Npc3/Hot_Greeting 2_Intro_000_189546	Great day for a barbie, I reckon.
Npc3/Hot_Greeting 2_Response_003_000_189546	Slap on a hat, mate.
Npc4/RandomConvo_039_Intro_000_189560	Need Text Here
Npc1/Arvo_Greeting 2_Intro_000_189566	Afternoon, <PlayerName>.þ
Npc1/Arvo_Greeting 2_Intro_001_189566	What do I owe you for the pleasure?þ
Npc1/Arvo_Greeting 2_Response_003_000_189566	<haha>Well, I ain’t paying you for that short chat!
Npc6/Medium_Friendship_Greeting 2_Intro_000_189594	<haha>I’ll tell you what, I was just thinking of you, <PlayerName>!
Npc6/Medium_Friendship_Greeting 2_Intro_001_189594	Can I help you with something?þ
Npc6/Medium_Friendship_Greeting 2_Response_003_000_189594	Take care.þ
Generic/StopFollowing 3_Intro_000_189604	Hey <PlayerName>. Why'd we stop here?
Generic/StopFollowing 3_Option_000_189604	This was fun...
Generic/StopFollowing 3_Option_001_189604	Let's keep going.
Generic/StopFollowing 3_Response_000_000_189604	Alright, it was nice hanging with you.
Generic/StopFollowing 3_Response_000_001_189604	Let's do this again soon, okay?<wave>
Generic/StopFollowing 3_Response_001_000_189604	Alright, lets do this! <pumped>
Npc7/Gossip_About_NPC_009_Intro_000_189616	I keep trying to show off my animals to <NPCName>.
Npc7/Gossip_About_NPC_009_Intro_001_189616	That fella sure loves his critters!þ
Npc7/Gossip_About_NPC_009_Intro_002_189616	<haha>He doesn’t like ‘em up close though!þ
Npc6/RandomConvo_032_Intro_000_189626	<sigh>I really wish you could have met my Father, <PlayerName>.þ
Npc6/RandomConvo_032_Intro_001_189626	<haha>He would give you a run for your money, let me tell you!þ
Npc6/RandomConvo_032_Intro_002_189626	<glee>It felt like that man could never run out of energy!þ
Generic/StopFollowing 4_Intro_000_189646	Hey <PlayerName>, what's up?
Generic/StopFollowing 4_Option_000_189646	This was fun...
Generic/StopFollowing 4_Option_001_189646	Let's keep going.
Generic/StopFollowing 4_Response_000_000_189646	Alright, it was nice hanging with you. <wave>
Generic/StopFollowing 4_Response_001_000_189646	Lead the way!
Npc1/Wind_Greeting 2_Intro_000_189672	Lovely breeze today!
Npc1/Wind_Greeting 2_Intro_001_189672	I’m just glad I’m outside for it!þ
Npc1/Wind_Greeting 2_Response_003_000_189672	Bye bye, <PlayerName>!
Npc3/Highest_Friendship_Greeting 2_Intro_000_189688	Good to see ya, <PlayerName>.
Npc3/Highest_Friendship_Greeting 2_Intro_001_189688	How ya doin’?
Npc3/Highest_Friendship_Greeting 2_Response_003_000_189688	See ya later, alright?
Npc4/RandomConvo_020_Intro_000_189700	<IslandName> is putting a very powerful feeling into the world today.þ
Npc4/RandomConvo_020_Intro_001_189700	I can just feel it y’know?þ
Npc4/RandomConvo_020_Intro_002_189700	<glee>Something good is going to happen for sure.þ
Generic/CraftedRequestCompleted_Intro_000_189710	Oh bonza! You crafted a <requestItem> for me?
Generic/CraftedRequestCompleted_Option_000_189710	Here you go.
Generic/CraftedRequestCompleted_Option_001_189710	Nah.
Generic/CraftedRequestCompleted_Response_001_000_189710	Oh, righto, <PlayerName>...
Npc4/RandomConvo_033_Intro_000_189764	Last night I had a weird dream that you were being controlled by someone, <PlayerName>.þ
Npc4/RandomConvo_033_Intro_001_189764	<no>They had a window where they could look through it and make you move.þ
Npc4/RandomConvo_033_Intro_002_189764	<worried>It was really creepy, y’know?þ
Npc6/RandomConvo_010_Intro_000_189772	I’ve been saving all my life. þ
Npc6/RandomConvo_010_Intro_001_189772	<haha>I’ll tell you what, the only <Licence> I ever needed was the <Licence> to give <Licences>!þ
Npc1/Highest_Friendship_Greeting 1_Intro_000_189774	Ah, <PlayerName>!
Npc1/Highest_Friendship_Greeting 1_Intro_001_189774	<yes>Always nice to see a friendly face.þ
Npc1/Highest_Friendship_Greeting 1_Response_003_000_189774	Hope we can catch up soon, <PlayerName>.
Generic/GivenCorrectItemForTrade_Intro_000_189794	You've got yourself a deal, <PlayerName>.
Generic/GivenCorrectItemForTrade_Intro_001_189794	Here's my <BulletinBoardReward>.
Generic/GivenCorrectItemForTrade_Intro_002_189794	Thanks for trading!
Npc2/Highest_Friendship_Greeting 1_Intro_000_189810	A cordial greeting to you, <PlayerName>.þ
Npc2/Highest_Friendship_Greeting 1_Response_003_000_189810	We just shared a great interaction, don’t you think?þ
Npc6/RandomConvo_018_Intro_000_189846	<no>You really should sleep more often <PlayerName>, it’s no good to run around with low energy!
Npc6/RandomConvo_018_Intro_001_189846	I'll tell you what, why not take the rest of the day off?
Npc6/RandomConvo_016_Intro_000_189862	Hey <PlayerName>. You know, <myName> is actually my surname, right?þ
Npc6/RandomConvo_016_Option_000_189862	What’s your first name?
Npc6/RandomConvo_016_Option_001_189862	Why does everyone call you that?
Npc6/RandomConvo_016_Response_000_000_189862	<thinking>Hmmm…
Npc6/RandomConvo_016_Response_000_001_189862	<haha>I’ll tell you what, I might tell you one day...
Npc6/RandomConvo_016_Response_001_000_189862	<yes>Everyone called my Father <myName>. It was just easier.
Npc6/RandomConvo_016_Response_001_001_189862	<haha>I guess the name just stuck on me too!
Npc4/RandomConvo_016_Intro_000_189876	<thinking>I remember when I made a red T-Shirt and wore it around <SouthCity>.þ
Npc4/RandomConvo_016_Intro_001_189876	It was just a regular, red T-shirt, y’know?þ
Npc4/RandomConvo_016_Intro_002_189876	<no>But people wouldn’t stop staring at me.þ
Npc4/RandomConvo_016_Intro_003_189876	<haha>It was like I had cast a spell on them!
Npc4/RandomConvo_028_Intro_000_189880	<thinking>Y'know, I never really understood how everything went South.þ
Npc4/RandomConvo_028_Intro_001_189880	<thinking>Maybe we just needed a reason to start all over again?þ
Npc3/Highest_Friendship_Greeting 1_Intro_000_189884	Look who it is, eh? Ol’ <PlayerName>.þ
Npc3/Highest_Friendship_Greeting 1_Intro_001_189884	What’ll it be today?þ
Npc3/Highest_Friendship_Greeting 1_Response_003_000_189884	<no>Don’t overdo it.
Npc1/Cold_Greeting 1_Intro_000_189892	Oh, G’day <PlayerName>.
Npc1/Cold_Greeting 1_Intro_001_189892	It’s a bit nippy out today!
Npc1/Cold_Greeting 1_Response_003_000_189892	Try and stay warm!þ
Npc1/Cold_Greeting 1_Response_003_001_189892	<proud>Maybe visit some shops, eh?þ
Npc6/Highest_Friendship_Greeting 0_Intro_000_189912	I’ll tell you what, it’s bloody lovely to see you, <PlayerName>!þ
Npc6/Highest_Friendship_Greeting 0_Response_003_000_189912	Hope I see you again today!
Npc6/High_Friendship_Greeting 2_Intro_000_189934	I’ll tell you what, it’s always nice to bump into you, <PlayerName>.þ
Npc6/High_Friendship_Greeting 2_Intro_001_189934	Need anything?
Npc6/High_Friendship_Greeting 2_Response_003_000_189934	<yes>Righto.
Npc6/RandomConvo_036_Intro_000_189956	Need Text
Generic/GivenCorrectShippingItem_Intro_000_189964	<glee>Thanks a lot, <PlayerName>!
Generic/GivenCorrectShippingItem_Intro_001_189964	<yes>You've really saved me, I didn't think I would get that shipment filled.
Generic/GivenCorrectShippingItem_Intro_002_189964	Here is your <BulletinBoardReward>!
Npc0/Arvo_Greeting 0_Intro_000_189976	It's like, already the arvo?
Npc0/Arvo_Greeting 0_Intro_001_189976	<no>Didn't time just fly by today.þ
Npc0/Arvo_Greeting 0_Response_003_000_189976	Have a good arvo, mate.
Npc6/RandomConvo_026_Intro_000_189990	I’ll tel you what, you can stand around all day waiting for something to happen…þ
Npc6/RandomConvo_026_Intro_001_189990	<proud>Or you can get out there and get it done!þ
Npc6/RandomConvo_026_Intro_002_189990	<yes>I like that about you, <PlayerName>.
Npc6/RandomConvo_026_Intro_003_189990	<haha>I tell you what, you’ve been getting it done.þ
Generic/CompleteRequestConvo_Intro_000_189994	Wow. You really found <requestItem>!
Generic/CompleteRequestConvo_Intro_001_189994	You're the best <PlayerName>!
Generic/CompleteRequestConvo_Intro_002_189994	I really owe you one. Here, take this.
Generic/CompleteRequestConvo_Intro_003_189994	Its not much but I hope you like it! Thanks again.
Generic/NoItemGiven_Intro_000_190034	Oh, you don't have <requestItem> at all.
Generic/NoItemGiven_Intro_001_190034	Let me know if you find <requestItem>.
Npc4/RandomConvo_036_Intro_000_190050	<pumped>When you feel that creative spark, you have to grab onto it tightly.þ
Npc4/RandomConvo_036_Intro_001_190050	<no>Whatever you do... don’t let it escape.þ
Npc4/RandomConvo_036_Intro_002_190050	<pumped>Hold onto that energy as long as you can and use it for something really special.þ
Npc4/RandomConvo_036_Intro_003_190050	You never know how long you've got, y'know?þ
Npc11/TotalEqualsZeroJimmy_Intro_000_190066	Hmmm...
Npc11/TotalEqualsZeroJimmy_Intro_001_190066	<no>It seems these items aren't worth anything at all...
Npc11/TotalEqualsZeroJimmy_Intro_002_190066	<shy>Well, if you didn't want them I could probably take them off your hands?
Npc11/TotalEqualsZeroJimmy_Option_000_190066	Yes, I dont want them.
Npc11/TotalEqualsZeroJimmy_Option_001_190066	I'll have them back thanks.
Npc11/TotalEqualsZeroJimmy_Response_000_000_190066	<glee>Excellent.
Npc11/TotalEqualsZeroJimmy_Response_000_001_190066	<size=11>I can definetly sell these for something...<size>
Npc11/TotalEqualsZeroJimmy_Response_000_002_190066	Great to see you as always, <PlayerName>.
Npc11/TotalEqualsZeroJimmy_Response_001_000_190066	<thinking>Hmmmm. Very well.
Npc11/TotalEqualsZeroJimmy_Response_001_001_190066	<no>Like I said, they aren't worth anything.
Npc11/TotalEqualsZeroJimmy_Response_001_002_190066	<yes>But you can have them back, I guess.
Generic/FoundPhoto_Intro_000_190088	You got the photo for me?
Generic/FoundPhoto_Option_000_190088	Sure did!
Generic/FoundPhoto_Option_001_190088	Not yet.
Generic/FoundPhoto_Response_000_000_190088	Great! Can't wait to see it!
Generic/FoundPhoto_Response_001_000_190088	No problems. I can't wait to see it
Npc3/High_Friendship_Greeting 1_Intro_000_190102	How’s it goin’, <PlayerName>?
Npc3/High_Friendship_Greeting 1_Response_003_000_190102	Don't work too hard.
Npc0/High_Friendship_Greeting 0_Intro_000_190120	It’s like, good to see you, <PlayerName>.
Npc0/High_Friendship_Greeting 0_Intro_001_190120	What's up?
Npc0/High_Friendship_Greeting 0_Response_003_000_190120	<wave>Catch ya!
Npc6/RandomConvo_035_Intro_000_190142	Need Text
Generic/GivenCompostIngredients_Intro_000_190148	Thanks, <PlayerName>!
Generic/GivenCompostIngredients_Intro_001_190148	Here is <BulletinBoardReward>.
Generic/GivenCompostIngredients_Intro_002_190148	I'll get to work making some more!
Npc1/Arvo_Greeting 0_Intro_000_190166	Arvo already, eh, <PlayerName>?
Npc1/Arvo_Greeting 0_Response_003_000_190166	<yes>Alright, nice chatting.
Generic/CookingRequestCompleteConvo_Intro_000_190184	You brought me <requestItem> ?
Generic/CookingRequestCompleteConvo_Option_000_190184	Here you go!
Generic/CookingRequestCompleteConvo_Option_001_190184	Not yet, sorry.
Generic/CookingRequestCompleteConvo_Response_000_000_190184	Thats great. Now I can make <BulletinBoardReward>
Generic/CookingRequestCompleteConvo_Response_001_000_190184	Aww . . . you got me excited for <BulletinBoardReward> .
Generic/TradeWrongTypeOfItem_Intro_000_190204	Ah . . . This isn't what I'm after.
Generic/TradeWrongTypeOfItem_Intro_001_190204	You can have this back.
Npc4/RandomConvo_026_Intro_000_190214	<yes>I heard about the mines deep underground. þ
Npc4/RandomConvo_026_Intro_001_190214	<glee>Way down deep, and dark. þ
Npc4/RandomConvo_026_Intro_002_190214	They still <Shift> so they’re constantly changing.þ
Npc4/RandomConvo_026_Intro_003_190214	<thinking>It’d be a really great place to hide something, y’know? 
Npc4/RandomConvo_026_Intro_004_190214	<shy>If you needed one, I mean.
Npc0/Night_Greeting 2_Intro_000_190216	<no>I, like, don’t reall love the dark.þ
Npc0/Night_Greeting 2_Intro_001_190216	Anyway, what’s up, <PlayerName>?þ
Npc0/Night_Greeting 2_Response_003_000_190216	<scared>Leaving already?
Npc1/Arvo_Greeting 1_Intro_000_190256	<haha>Today went fast!
Npc1/Arvo_Greeting 1_Intro_001_190256	<no>It’s already the bloody arvo!
Npc1/Arvo_Greeting 1_Response_003_000_190256	<wave>I’m sure we’ll see each other soon enough.
Generic/NoPhotoGiven_Intro_000_190266	Oh, you don't have the photo? Thats ok!
Generic/StopFollowing_Intro_000_190286	What a nice day to hang out with <PlayerName>!
Generic/StopFollowing_Intro_001_190286	Where are we off to?
Generic/StopFollowing_Option_000_190286	This was fun...
Generic/StopFollowing_Option_001_190286	Lets keep going!
Generic/StopFollowing_Response_000_000_190286	Oh, I should be going anyway.
Generic/StopFollowing_Response_000_001_190286	Thanks for hanging out with me, <PlayerName>.
Generic/StopFollowing_Response_001_000_190286	Let's go!
Generic/TradeSameItem_Intro_000_190300	Wait a second. . . This is a <BulletinBoardReward> . I'm trying to get rid of my <BulletinBoardReward> ! 
Generic/TradeSameItem_Intro_001_190300	<haha> I guess we're right where we started! Here, you can have this back.
Npc3/Hot_Greeting 0_Intro_000_190308	Nearly breakin a sweat out here.
Npc3/Hot_Greeting 0_Response_003_000_190308	Take yer time in this heat, <PlayerName>.
Npc5/TotalEqualsZeroTrapper_Intro_000_190310	All right... Lets see...
Npc5/TotalEqualsZeroTrapper_Intro_001_190310	It seems these items aren't worth anything, but I can still take them off your hands if you don't want them?
Npc5/TotalEqualsZeroTrapper_Option_000_190310	Yes, I dont want them.
Npc5/TotalEqualsZeroTrapper_Option_001_190310	I'll have them back thanks.
Npc5/TotalEqualsZeroTrapper_Response_000_000_190310	Righto, mate.
Npc5/TotalEqualsZeroTrapper_Response_000_001_190310	Cheers.
Npc5/TotalEqualsZeroTrapper_Response_001_000_190310	That's fine, please return if you wish to sell anything else.
Npc5/TotalEqualsZeroTrapper_Response_001_001_190310	Thank you for visiting John's Goods!
Npc4/RandomConvo_032_Intro_000_190330	Do you think that maybe the universe had always intended for us to meet each other, <PlayerName>?þ
Npc4/RandomConvo_032_Intro_001_190330	<thinking>Like there is some kind of background force pushing us together?þ
Npc4/RandomConvo_032_Intro_002_190330	I just feel like we’re very good friends, y’know?þ
Npc4/RandomConvo_032_Intro_003_190330	<haha>It’s kinda scary how good friends we’ve become, right?þ
Npc2/High_Friendship_Greeting 2_Intro_000_190354	<PlayerName>, what do you require?
Npc2/High_Friendship_Greeting 2_Response_003_000_190354	Very well.
Npc6/RandomConvo_038_Intro_000_190400	Need Text
Npc4/RandomConvo_027_Intro_000_190402	<worried>I had the weirdest feeling yesterday. I’m so glad to see you’re still with us, <PlayerName>.þ
Npc4/RandomConvo_027_Intro_001_190402	I’m pretty sure you’re going to be fine now, y’know?þ
Npc3/Highest_Friendship_Greeting 0_Intro_000_190430	Oh, <PlayerName>.
Npc3/Highest_Friendship_Greeting 0_Intro_001_190430	What brings you to old <myName>?
Npc3/Highest_Friendship_Greeting 0_Response_003_000_190430	Take yer time today, alright?
Generic/StopFollowing 1_Intro_000_190434	What do you do for fun around here aanyway, <PlayerName>?
Generic/StopFollowing 1_Option_000_190434	This was fun...
Generic/StopFollowing 1_Option_001_190434	Let's keep going.
Generic/StopFollowing 1_Response_000_000_190434	Alright, it was nice hanging with you.
Generic/StopFollowing 1_Response_001_000_190434	Lead the way!
Npc1/Hot_Greeting 2_Intro_000_190458	<haha>Hot days like this make me glad I’m inside most of the time!
Npc1/Hot_Greeting 2_Intro_001_190458	How are you handling the heat, <PlayerName>?
Npc1/Hot_Greeting 2_Response_003_000_190458	See you soon!
Generic/SellItemByWeight_Intro_000_190460	Ah, I see you've got a nice <sellByWeightName> there.
Generic/SellItemByWeight_Intro_001_190460	Looks like it weighs around <getItemWeight>!
Generic/SellItemByWeight_Intro_002_190460	How does <getItemByWeightPrice> sound for it?
Generic/SellItemByWeight_Option_000_190460	Yes
Generic/SellItemByWeight_Option_001_190460	No
Generic/SellItemByWeight_Response_000_000_190460	Thank you very much!
Generic/SellItemByWeight_Response_001_000_190460	No worries, mate.
Generic/Wrong Photo Convo_Intro_000_190468	I mean, this is a nice photo, but it's not what I was looking for . . .
Generic/Wrong Photo Convo_Option_000_190468	Let me try again.
Generic/Wrong Photo Convo_Option_001_190468	Nevermind.
Generic/Wrong Photo Convo_Response_000_000_190468	Oh, you have another photo?
